Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Île-de-France;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;77071;Chaintreaux;80;1;1;192;26;109;42;79;21;0;4;16;31;602
;77072;Chalautre-la-Grande;53;1;1;112;18;70;32;51;11;1;0;7;21;379
;77073;Chalautre-la-Petite;72;1;3;93;23;67;37;41;5;2;0;8;8;361
;77075;Chalifert;187;6;4;198;84;128;73;68;10;3;0;5;26;793
;77076;Chalmaison;79;1;0;116;25;98;32;57;13;2;0;8;19;450
;77077;Chambry;139;2;0;152;47;103;42;54;13;2;0;6;32;593
;77078;Chamigny;162;3;2;188;61;122;90;65;16;2;0;8;18;738
;77079;Champagne-sur-Seine;546;12;3;746;215;643;386;419;108;7;1;47;126;3258
;77080;Champcenest;16;0;0;49;7;22;5;17;10;1;0;1;5;133
;77081;Champdeuil;78;3;1;162;29;94;34;41;10;1;0;3;12;468
;77082;Champeaux;112;1;2;163;38;101;45;55;17;1;0;8;12;555
;77083;Champs-sur-Marne;3051;45;30;3487;990;1702;1074;913;185;40;5;83;237;11842
;77084;Changis-sur-Marne;152;4;1;190;38;133;67;64;15;2;0;9;28;705
;77085;Chanteloup-en-Brie;644;8;9;1185;160;335;155;153;27;14;0;14;52;2757
;77086;La Chapelle-Gauthier;143;6;3;273;55;164;67;105;21;2;0;7;27;874
;77087;La Chapelle-Iger;14;0;0;36;6;17;7;9;3;0;0;2;5;99
;77088;La Chapelle-la-Reine;251;7;3;503;107;279;124;156;36;3;1;29;41;1541
;77089;La Chapelle-Rablais;113;1;3;208;42;116;52;62;20;1;0;15;21;654
;77090;La Chapelle-Saint-Sulpice;20;0;0;54;7;32;9;10;2;0;0;4;7;146
;77091;Les Chapelles-Bourbon;63;1;0;102;21;51;24;17;7;1;0;3;7;297
;77093;La Chapelle-Moutils;42;0;0;85;14;44;21;36;11;0;0;4;8;266
;77094;Charmentray;30;0;0;54;14;37;16;22;2;0;0;1;7;183
;77095;Charny;202;2;1;278;66;160;71;76;12;4;0;6;14;893
;77096;Chartrettes;476;5;2;454;136;248;168;112;17;8;0;13;60;1700
;77097;Chartronges;19;1;0;57;10;47;9;22;6;0;0;2;8;181
;77098;Châteaubleau;35;0;0;56;14;40;19;17;7;1;0;5;9;205
;77099;Château-Landon;281;5;0;515;93;341;172;240;57;4;0;42;75;1826
;77100;Le Châtelet-en-Brie;708;13;3;823;230;514;276;304;66;11;1;21;68;3040
;77101;Châtenay-sur-Seine;102;3;0;180;26;131;57;91;21;1;0;10;8;631
;77102;Châtenoy;10;1;0;34;2;24;6;10;1;1;0;2;9;100
;77103;Châtillon-la-Borde;29;0;1;48;13;27;13;14;5;1;0;1;8;160
;77104;Châtres;103;0;0;137;24;86;30;36;10;1;1;2;15;446
;77106;Chauffry;109;1;1;160;41;133;58;68;16;1;0;17;28;634
;77107;Chaumes-en-Brie;405;3;2;545;118;385;143;201;47;4;1;19;111;1987
;77108;Chelles;6602;92;59;6321;2230;4705;2791;2469;540;86;2;220;649;26767
;77109;Chenoise-Cucharmoy;141;3;2;290;44;205;67;131;41;3;2;17;32;977
;77110;Chenou;14;1;0;62;11;53;10;24;11;0;0;8;10;204
;77111;Chessy;935;14;14;1070;251;478;226;182;23;45;0;9;63;3309
;77112;Chevrainvilliers;31;0;0;55;12;35;12;20;6;0;0;2;1;174
;77113;Chevru;76;0;0;210;22;143;55;88;19;1;0;13;20;649
;77114;Chevry-Cossigny;669;9;4;769;201;401;202;170;23;14;0;21;72;2555
;77115;Chevry-en-Sereine;52;3;0;98;19;55;32;35;18;1;0;7;18;338
;77116;Choisy-en-Brie;159;3;0;275;45;158;71;83;23;2;1;9;33;862
;77117;Citry;85;3;0;115;31;86;42;68;10;0;0;8;16;463
;77118;Claye-Souilly;2077;19;28;1923;627;1310;628;573;105;25;3;49;186;7552
;77119;Clos-Fontaine;28;0;0;60;11;28;9;22;11;0;0;5;6;181
;77120;Cocherel;43;5;0;93;15;87;37;49;14;0;0;7;11;362
;77121;Collégien;578;5;14;622;165;312;145;149;34;17;0;14;44;2099
;77122;Combs-la-Ville;2763;34;22;2626;840;1885;1077;927;222;24;1;79;203;10703
;77123;Compans;118;3;5;242;40;103;32;48;10;3;0;2;7;612
;77124;Conches-sur-Gondoire;301;6;7;240;99;180;117;76;12;6;1;4;36;1085
;77125;Condé-Sainte-Libiaire;241;4;0;202;68;141;88;65;20;8;0;5;31;873
;77126;Congis-sur-Thérouanne;193;6;2;275;53;199;98;121;20;1;0;13;47;1027
;77127;Coubert;243;4;2;267;55;195;90;88;24;6;0;10;34;1019
;77128;Couilly-Pont-aux-Dames;297;1;5;335;89;211;122;107;22;3;0;16;31;1240
;77129;Coulombs-en-Valois;42;2;1;105;20;71;26;44;7;1;1;6;14;341
;77130;Coulommes;58;0;0;84;22;54;24;21;6;1;0;3;10;284
;77131;Coulommiers;1834;28;15;2304;542;1358;796;778;182;27;0;92;210;8166
;77132;Coupvray;511;7;3;430;176;256;189;124;20;5;1;13;75;1810
;77133;Courcelles-en-Bassée;20;1;0;40;8;31;18;20;17;0;0;5;10;170
;77134;Courchamp;16;0;0;24;3;20;11;6;1;0;0;2;2;85
;77135;Courpalay;142;2;2;277;54;169;77;105;15;3;0;14;25;887
