Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Bretagne;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;22152;Minihy-Tréguier;193;2;0;230;59;158;63;95;22;2;1;15;19;858
;22153;Moncontour;35;1;0;74;15;67;24;39;10;1;0;4;5;276
;22155;La Motte;145;2;0;399;49;299;89;186;68;0;1;33;47;1317
;22156;Moustéru;34;1;0;119;24;90;34;54;13;0;0;10;11;390
;22157;Le Moustoir;55;2;0;137;18;76;28;63;16;0;1;7;11;416
;22158;Guerlédan;206;3;0;452;77;325;142;181;68;4;3;33;82;1576
;22160;Noyal;87;1;0;213;21;133;37;70;16;0;0;12;16;605
;22161;Pabu;377;4;2;464;116;311;159;153;45;0;0;17;46;1694
;22162;Paimpol;1076;16;6;1105;367;797;472;458;159;18;2;81;199;4757
;22163;Paule;47;0;0;144;17;98;30;43;13;0;0;8;23;421
;22164;Pédernec;150;4;0;341;57;266;87;170;52;3;0;28;50;1209
;22166;Penvénan;375;2;0;433;135;350;196;165;49;5;0;30;83;1823
;22168;Perros-Guirec;1489;14;10;1133;461;821;576;392;110;28;0;64;216;5314
;22169;Peumerit-Quintin;4;2;0;19;4;21;7;12;3;0;0;1;8;81
;22170;Plaine-Haute;104;3;0;298;53;212;78;112;31;2;0;22;29;945
;22171;Plaintel;389;4;1;867;150;563;225;302;91;3;1;62;82;2740
;22172;Plancoët;263;7;1;482;96;371;172;215;61;2;0;36;74;1782
;22174;Pléboulle;72;2;0;134;23;83;38;68;13;0;0;7;15;455
;22175;Plédéliac;124;4;0;325;36;196;57;111;28;2;0;25;27;935
;22176;Plédran;618;16;2;1208;202;842;333;480;132;8;0;78;132;4051
;22177;Pléguien;120;3;0;187;40;202;68;105;30;1;0;20;25;801
;22178;Pléhédel;128;3;0;230;39;192;57;96;33;2;0;18;26;824
;22179;Fréhel;328;7;0;427;80;299;169;205;44;10;1;41;92;1704
;22180;Plélan-le-Petit;174;0;1;353;52;241;99;157;53;1;1;37;39;1208
;22181;Plélauff;43;4;0;120;13;106;38;72;18;1;1;12;15;444
;22182;Plélo;252;6;2;669;82;438;132;279;77;5;2;43;59;2047
;22183;Plémet;185;3;0;512;59;376;132;217;73;1;1;47;70;1676
;22184;Plémy;75;4;0;285;33;212;57;128;58;0;0;32;36;919
;22185;Plénée-Jugon;135;3;2;550;53;342;85;201;51;3;0;34;47;1507
;22186;Pléneuf-Val-André;770;11;11;831;233;504;324;270;71;9;0;44;153;3231
;22187;Plérin;2600;37;32;2971;677;1576;855;871;227;35;1;122;270;10273
;22188;Plerneuf;88;5;0;220;19;130;49;84;32;0;0;15;26;667
;22189;Plésidy;35;0;0;89;15;71;32;43;19;0;0;11;20;334
;22190;Pleslin-Trigavou;366;9;5;623;148;488;211;293;87;6;0;53;103;2392
;22193;Plestan;129;3;1;375;48;194;70;121;39;3;0;20;35;1039
;22194;Plestin-les-Grèves;533;4;3;564;151;409;260;245;82;6;0;53;94;2403
;22195;Pleubian;279;10;2;418;115;273;160;162;64;1;0;41;85;1610
;22196;Pleudaniel;83;1;0;148;36;127;53;102;33;0;1;21;28;633
;22197;Pleudihen-sur-Rance;325;11;1;556;121;376;197;224;60;6;0;42;70;1990
;22198;Pleumeur-Bodou;720;8;2;655;195;541;297;284;76;11;3;34;101;2926
;22199;Pleumeur-Gautier;94;3;1;173;38;154;71;101;27;0;0;21;22;705
;22200;Pléven;42;2;0;90;14;68;26;51;12;2;1;7;15;330
;22202;Plévin;61;2;0;141;26;93;39;55;23;1;0;7;18;465
;22203;Ploeuc-L'Hermitage;256;6;2;697;98;529;215;339;105;3;0;83;112;2446
;22204;Ploëzal;128;1;0;205;50;195;75;133;52;2;1;41;41;924
;22205;Plorec-sur-Arguenon;32;1;0;83;7;61;24;37;16;2;0;6;14;283
;22206;Châtelaudren-Plouagat;318;8;0;704;101;469;202;244;70;7;0;39;61;2225
;22207;Plouaret;213;8;0;315;76;273;136;175;57;3;0;32;38;1327
;22208;Plouasne;102;3;0;278;38;244;83;140;52;4;0;23;38;1004
;22209;Beaussais-sur-Mer;472;10;1;631;150;433;224;255;77;6;1;42;82;2384
;22210;Ploubazlanec;500;12;0;671;158;401;251;218;76;16;0;42;106;2450
;22211;Ploubezre;485;9;2;562;139;472;191;278;82;6;0;47;54;2328
;22212;Plouëc-du-Trieux;88;1;0;189;32;154;44;110;40;0;0;16;29;703
;22213;Plouër-sur-Rance;470;5;7;781;176;600;268;345;96;10;0;40;106;2904
;22214;Plouézec;389;8;0;541;137;464;233;267;99;5;0;46;110;2298
;22215;Ploufragan;1403;35;3;2042;519;1306;689;685;198;46;0;93;223;7244
;22216;Plougonver;41;6;0;125;20;86;39;81;27;0;0;17;22;463
;22217;Plougras;27;0;0;80;9;65;13;45;14;0;0;13;13;279
;22218;Plougrescant;173;3;0;232;48;179;78;108;29;1;0;20;36;907
;22219;Plouguenast-Langast;169;6;4;451;60;315;107;185;54;0;1;29;45;1425
