Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Pays de la Loire;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;44180;Vallons-de-l'Erdre;303;10;3;963;138;731;317;508;158;9;0;88;136;3363
;44182;Saint-Michel-Chef-Chef;829;20;4;985;242;691;333;337;86;8;0;33;118;3686
;44183;Saint-Molf;316;8;1;427;114;358;145;143;34;6;0;25;46;1622
;44184;Saint-Nazaire;10871;187;61;8776;3769;6374;4575;3437;797;139;3;350;1035;40373
;44185;Saint-Nicolas-de-Redon;333;12;1;624;135;407;210;260;88;8;0;60;74;2213
;44186;Sainte-Pazanne;641;25;3;1129;229;950;361;482;95;9;1;58;105;4089
;44187;Saint-Père-en-Retz;395;13;4;717;150;592;273;356;94;3;0;46;117;2761
;44188;Saint-Philbert-de-Grand-Lieu;852;19;3;1749;306;1079;453;651;120;13;1;66;155;5468
;44189;Sainte-Reine-de-Bretagne;176;5;0;408;72;291;136;177;47;2;0;30;52;1396
;44190;Saint-Sébastien-sur-Loire;4085;84;23;3411;1453;2465;1712;1163;230;39;7;111;340;15123
;44192;Saint-Viaud;226;2;2;432;71;346;132;226;57;4;0;25;63;1587
;44193;Saint-Vincent-des-Landes;52;4;0;245;15;211;63;146;41;0;0;34;30;840
;44194;Sautron;1631;25;10;1510;508;824;536;294;67;21;0;28;132;5586
;44195;Savenay;1012;32;3;1573;299;1013;425;483;109;36;1;49;113;5148
;44196;Sévérac;130;6;0;272;61;221;88;144;50;0;2;25;45;1043
;44197;Sion-les-Mines;84;0;0;244;32;224;73;162;66;2;0;40;52;979
;44198;Les Sorinières;1168;27;12;1569;473;923;536;441;98;20;1;47;122;5438
;44199;Soudan;123;4;2;312;42;302;91;211;76;3;1;53;67;1287
;44200;Soulvache;11;1;0;46;11;39;12;42;15;0;0;7;12;196
;44201;Sucé-sur-Erdre;1136;20;15;1255;384;819;474;390;78;19;3;45;142;4781
;44202;Teillé;89;3;0;314;35;229;79;161;41;2;0;17;38;1007
;44203;Le Temple-de-Bretagne;182;6;3;362;90;259;107;127;27;7;0;13;30;1214
;44204;Thouaré-sur-Loire;1445;32;16;1664;494;967;545;464;86;11;2;44;130;5899
;44205;Les Touches;165;2;0;373;67;322;113;197;70;2;0;28;52;1392
;44206;Touvois;77;3;1;269;46;232;82;147;45;1;0;30;38;970
;44207;Trans-sur-Erdre;54;1;0;164;23;121;46;83;34;1;0;14;14;553
;44208;Treffieux;30;1;0;128;19;110;40;75;22;2;0;18;31;476
;44209;Treillières;1326;30;11;1942;485;1143;487;533;114;25;2;72;151;6321
;44210;Trignac;1092;22;6;1233;316;854;564;498;121;20;0;52;123;4902
;44211;La Turballe;958;13;3;826;256;510;330;272;73;19;1;30;106;3398
;44212;Vallet;840;35;8;1664;313;1104;525;563;134;16;2;62;205;5472
;44213;Loireauxence;401;21;6;1243;173;983;379;628;193;11;4;114;185;4342
;44214;Vay;90;2;0;326;43;312;82;198;53;2;0;34;29;1172
;44215;Vertou;3987;83;37;4391;1359;2502;1634;1134;243;89;4;132;420;16016
;44216;Vieillevigne;344;13;3;646;129;504;233;278;77;6;0;41;78;2351
;44217;Vigneux-de-Bretagne;850;20;10;1429;297;724;317;361;95;14;1;41;120;4279
;44218;Villepot;38;2;0;113;12;93;33;68;24;1;0;28;17;429
;44220;Vue;119;5;2;277;46;232;91;127;36;3;0;25;47;1010
;44221;La Chevallerais;103;3;1;246;34;177;76;105;39;4;0;16;24;828
;44222;La Roche-Blanche;65;4;0;207;30;181;58;98;24;2;0;22;23;713
;44223;Geneston;379;4;1;716;144;475;181;222;46;8;0;25;58;2259
;44224;La Grigonnais;105;5;2;277;43;252;69;145;43;3;0;23;32;1000
;49160;Ingrandes-Le Fresne sur Loire;23;0;0;56;12;69;28;35;18;2;1;6;13;262
;ND;ND;134;1;3;217;37;109;50;50;7;1;0;5;12;626
;Total département;;171463;4283;1330;221185;60945;146459;79929;78632;19565;2950;216;9603;23502;820060
Maine-et-Loire;44180;Vallons-de-l'Erdre;36;0;0;113;15;108;40;82;37;1;0;24;20;476
;49002;Allonnes;208;5;1;505;82;347;145;233;90;3;0;65;96;1782
;49003;Tuffalun;96;6;0;340;42;190;80;132;53;5;1;29;49;1024
;49007;Angers;17144;451;115;16544;5809;11031;7959;6278;1527;281;20;654;1961;69775
;49008;Angrie;56;6;0;162;29;102;51;59;25;1;0;12;18;520
;49009;Antoigné;19;0;0;78;13;70;23;36;21;0;0;10;17;289
;49010;Armaillé;10;0;0;54;5;44;24;28;10;1;0;8;5;189
;49011;Artannes-sur-Thouet;34;0;0;69;14;60;29;50;20;2;0;12;17;308
;49012;Aubigné-sur-Layon;22;0;2;73;7;45;14;30;8;1;0;6;11;219
;49015;Avrillé;2064;38;12;2170;732;1310;982;629;144;30;2;70;243;8426
;49017;Baracé;18;1;0;87;11;66;29;49;15;1;1;11;9;298
;49018;Baugé-en-Anjou;782;24;6;1901;279;1384;644;1003;313;15;2;221;325;6900
;49020;Beaucouzé;1141;16;42;2217;294;657;401;287;62;37;0;32;89;5275
;49021;Beaufort-en-Anjou;581;21;3;1193;195;794;386;487;137;12;1;103;178;4090
;49022;Beaulieu-sur-Layon;106;1;3;313;57;190;68;135;41;6;1;20;69;1010
;49023;Beaupréau-en-Mauges;1711;49;14;4061;754;2933;1367;1741;451;87;0;223;546;13938
;49026;Bécon-les-Granits;222;6;3;508;73;358;137;212;49;4;1;40;50;1663
;49027;Bégrolles-en-Mauges;152;2;0;352;78;260;131;137;37;1;0;24;40;1215
;49028;Béhuard;13;0;1;17;7;8;15;11;3;0;0;1;0;76
;49029;Blaison-Saint-Sulpice;129;6;1;232;40;171;77;90;38;5;1;19;39;849
;49030;Blou;54;2;2;165;28;105;56;80;21;3;0;20;22;558
;49035;Bouchemaine;1084;19;14;1178;372;654;454;318;82;29;5;39;160;4406
;49036;Bouillé-Ménard;38;3;1;101;20;89;45;63;16;1;0;15;20;413
;49038;Bourg-l'Évêque;15;0;0;42;5;22;15;29;5;0;0;4;5;143
;49041;Brain-sur-Allonnes;135;1;0;300;45;267;99;177;50;1;1;30;63;1168
;49045;La Breille-les-Pins;33;5;0;69;10;82;39;55;22;1;0;24;18;359
;49048;Briollay;326;8;2;537;119;344;187;194;57;7;1;26;74;1881
;49050;Brissac Loire Aubance;945;27;6;2101;381;1342;585;753;232;24;1;158;253;6807
;49053;Brossay;14;1;1;61;6;50;23;23;11;0;0;6;7;204
;49054;Candé;167;2;3;466;56;311;149;207;56;3;1;51;60;1533
;49055;Cantenay-Épinard;284;12;4;382;85;261;151;140;40;4;1;22;58;1446
;49056;Carbay;13;0;0;41;6;26;11;20;13;1;0;3;7;142
;49057;Cernusson;9;0;1;60;5;45;12;22;5;0;0;9;8;178
;49058;Les Cerqueux;46;0;2;248;12;105;41;71;23;0;0;15;16;578
;49060;Bellevigne-les-Châteaux;303;8;0;602;129;451;206;257;92;3;1;71;104;2227
;49061;Challain-la-Potherie;43;0;0;125;14;92;36;58;32;0;0;10;11;420
;49063;Chalonnes-sur-Loire;635;9;7;1143;240;690;412;394;114;13;0;72;132;3861
;49064;Chambellay;25;2;0;59;7;56;27;24;13;0;0;5;8;226
;49067;Chenillé-Champteussé;26;1;0;56;7;51;13;25;6;0;0;11;9;205
;49068;Champtocé-sur-Loire;131;4;0;345;61;222;95;142;49;3;0;31;42;1126
;49069;Orée d'Anjou;1262;44;7;2778;594;1998;962;1187;340;18;4;204;377;9775
;49070;Chanteloup-les-Bois;46;1;0;117;17;97;46;61;11;4;0;10;26;435
;49076;La Chapelle-Saint-Laud;51;3;2;129;19;90;31;84;22;1;0;12;15;459
;49080;Les Hauts-d'Anjou;522;13;3;1452;179;1042;430;654;204;12;0;135;191;4837
;49082;Chaudefonds-sur-Layon;59;1;1;154;26;116;55;66;25;0;0;13;25;541
;49086;Terranjou;217;9;0;708;111;500;181;319;80;6;1;50;90;2272
;49089;Chazé-sur-Argos;47;1;0;186;24;136;55;69;20;1;0;14;19;571
;49090;Cheffes;67;1;2;141;32;146;50;72;21;4;0;9;30;575
;49092;Chemillé-en-Anjou;1478;46;12;3947;580;2604;1113;1595;483;65;2;234;458;12617
;49099;Cholet;7209;124;78;9949;2567;5384;3267;2932;654;101;9;338;923;33537
;49100;Cizay-la-Madeleine;35;0;0;95;14;43;22;36;14;0;0;12;8;279
;49102;Cléré-sur-Layon;15;0;0;55;7;43;17;30;10;0;0;5;4;187
;49107;Cornillé-les-Caves;24;1;0;105;28;62;27;49;11;2;1;7;18;336
;49109;Coron;83;2;0;275;35;228;74;147;31;2;0;22;44;943
;49110;Corzé;149;6;3;335;46;246;99;150;55;3;0;21;65;1177
;49112;Le Coudray-Macouard;99;2;0;168;27;120;61;76;28;1;0;16;31;631
;49113;Courchamps;36;2;0;95;15;57;26;42;14;0;0;12;16;315
;49114;Courléon;8;2;0;20;4;16;4;16;11;0;0;4;9;96
;49120;Denée;124;2;1;221;39;190;75;116;38;2;0;14;30;852
;49121;Dénezé-sous-Doué;13;2;0;68;10;64;21;31;20;1;0;17;12;260
;49123;Distré;272;1;4;410;68;245;108;110;38;2;0;21;35;1316
;49125;Doué-en-Anjou;754;21;5;1968;300;1320;548;845;252;17;2;163;270;6466
;49127;Durtal;193;15;1;608;93;425;175;307;99;6;2;50;107;2081
;49129;Écouflant;605;27;8;799;200;478;290;259;65;28;2;33;85;2879
;49130;Écuillé;40;1;1;128;17;77;28;45;21;1;0;14;8;382
;49131;Épieds;35;1;0;123;18;93;28;68;23;0;0;20;17;427
;49132;Étriché;87;0;1;286;42;198;75;130;32;3;0;20;31;906
;49135;Feneu;228;10;2;336;74;266;142;161;45;6;1;26;42;1341
;49138;Les Bois d'Anjou;151;9;0;427;68;274;132;243;74;6;1;63;91;1538
;49140;Fontevraud-l'Abbaye;102;3;1;198;20;146;72;90;29;4;1;22;37;726
;49155;Grez-Neuville;139;6;1;305;47;206;84;127;25;7;0;16;37;999
;49160;Ingrandes-Le Fresne sur Loire;160;6;2;375;56;229;145;150;42;4;0;33;51;1253
;49161;La Jaille-Yvon;12;1;0;76;9;45;22;28;14;2;0;5;9;223
;49163;Jarzé Villages;143;11;0;459;60;384;108;231;68;5;1;65;66;1601
;49167;Les Garennes sur Loire;575;13;8;929;230;502;272;278;78;19;1;43;104;3053
;49170;Juvardeil;51;3;0;132;16;111;37;84;26;2;0;22;19;502
;49171;La Lande-Chasles;5;0;0;21;3;14;7;13;4;0;0;5;4;76
