Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Auvergne-Rhône-Alpes;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;01248;Mionnay;371;2;2;428;127;260;133;105;18;7;0;6;47;1506
;01249;Miribel;1362;28;12;1714;487;941;481;469;90;28;1;38;138;5789
;01250;Misérieux;262;6;1;350;69;211;101;79;29;5;0;9;33;1157
;01252;Mogneneins;69;1;0;149;29;97;44;45;10;1;1;6;14;467
;01254;Montagnat;456;5;2;460;103;250;109;114;30;5;0;17;35;1586
;01255;Montagnieu;64;1;0;97;18;70;47;66;11;2;0;8;16;400
;01257;Montanges;45;0;0;70;16;45;18;22;4;0;0;4;2;227
;01258;Montceaux;125;4;0;248;40;152;63;76;15;5;0;9;34;771
;01259;Montcet;82;1;1;141;38;76;40;45;6;3;0;3;11;448
;01260;Le Montellier;29;0;1;55;16;47;18;9;5;1;0;1;10;193
;01261;Monthieux;82;1;1;145;30;73;28;53;4;0;0;6;12;436
;01262;Montluel;708;16;4;1297;296;764;335;430;112;18;1;53;119;4152
;01263;Montmerle-sur-Saône;499;6;2;681;170;417;233;221;32;12;1;20;70;2364
;01264;Montracol;155;1;0;192;38;130;37;51;15;2;2;7;16;647
;01265;Montréal-la-Cluse;407;3;2;553;136;425;189;269;67;4;1;20;51;2126
;01266;Montrevel-en-Bresse;366;1;4;443;135;279;152;155;38;6;1;10;61;1653
;01267;Nurieux-Volognat;137;0;5;197;45;110;55;64;10;2;0;12;24;661
;01268;Murs-et-Gélignieux;23;0;0;49;6;28;9;18;6;0;0;4;7;150
;01269;Nantua;286;5;2;384;125;317;121;250;49;0;0;15;33;1587
;01272;Neuville-les-Dames;169;2;1;276;64;180;87;94;21;2;0;13;32;941
;01273;Neuville-sur-Ain;185;4;0;309;69;224;96;118;49;5;0;22;46;1125
;01274;Les Neyrolles;75;1;0;87;21;68;24;56;10;0;0;6;4;352
;01275;Neyron;452;10;6;625;133;243;149;121;22;21;1;10;35;1829
;01276;Niévroz;210;3;5;331;78;196;80;97;28;4;0;15;30;1078
;01277;Nivollet-Montgriffon;10;0;0;18;4;21;3;9;2;0;0;5;2;76
;01279;Oncieu;6;0;0;15;1;18;7;6;2;0;0;0;5;60
;01280;Ordonnaz;12;1;0;34;4;17;5;17;2;0;1;4;2;101
;01281;Ornex;864;5;12;675;285;277;226;132;21;22;0;12;53;2584
;01282;Outriaz;28;0;0;58;5;26;11;11;5;0;0;2;5;151
;01283;Oyonnax;2114;37;19;2815;837;2366;1075;1808;417;20;8;152;259;11928
;01284;Ozan;61;3;0;148;25;92;34;44;13;0;0;3;13;435
;01285;Parcieux;194;1;1;243;58;138;58;58;13;3;0;5;27;800
;01286;Parves et Nattages;112;4;1;167;36;148;45;70;20;4;0;8;36;652
;01288;Péron;563;2;6;478;170;212;135;82;16;10;0;12;59;1744
;01289;Péronnas;1266;26;6;1177;350;692;366;339;71;15;1;31;115;4455
;01290;Pérouges;179;5;1;283;53;139;60;63;18;3;0;5;32;840
;01291;Perrex;113;1;0;188;32;96;56;46;16;1;1;2;25;578
;01293;Peyriat;22;1;1;40;4;16;5;7;3;0;0;0;2;101
;01294;Peyrieu;93;1;0;140;34;104;47;55;17;0;3;11;25;530
;01295;Peyzieux-sur-Saône;69;1;1;126;18;78;30;41;11;0;0;4;9;388
;01296;Pirajoux;33;0;0;77;10;45;19;33;7;1;0;7;10;243
;01297;Pizay;111;1;1;141;35;116;36;62;7;3;0;9;13;534
;01298;Plagne;19;0;0;31;4;17;11;13;2;0;0;1;0;99
;01299;Le Plantay;48;0;0;100;19;58;27;34;10;1;0;1;11;308
;01301;Polliat;365;2;1;518;125;269;156;148;27;4;1;11;51;1677
;01302;Pollieu;21;0;0;23;13;26;18;13;8;1;0;3;5;131
;01303;Poncin;181;2;0;304;77;192;96;112;32;1;2;17;36;1051
;01304;Pont-d'Ain;318;4;0;536;102;324;151;226;55;8;0;21;55;1801
;01305;Pont-de-Vaux;195;1;1;355;88;237;154;123;34;2;1;13;50;1254
;01306;Pont-de-Veyle;183;6;1;266;67;150;104;84;9;1;0;7;20;898
;01307;Port;102;0;1;194;37;102;42;71;7;2;1;7;18;584
;01308;Pougny;134;1;0;124;50;65;52;30;6;4;0;4;19;489
;01309;Pouillat;12;0;0;19;2;14;0;6;3;0;0;2;3;62
;01310;Prémeyzel;8;1;0;21;5;18;8;10;4;3;0;0;3;82
;01311;Prémillieu;6;1;0;11;2;3;2;3;0;0;0;1;2;31
;01313;Prévessin-Moëns;1841;7;27;1333;549;536;438;213;36;25;0;2;124;5132
;01314;Priay;166;2;2;307;59;249;109;109;32;1;2;18;41;1098
;01317;Ramasse;37;0;0;58;18;34;17;25;4;0;0;3;12;208
;01318;Rancé;105;1;0;167;21;69;43;46;14;2;0;6;23;497
;01319;Relevant;52;0;1;86;16;61;26;38;5;1;0;5;13;305
;01320;Replonges;465;4;4;740;174;486;234;214;61;9;1;30;73;2496
;01321;Revonnas;125;3;1;185;53;90;44;54;12;1;0;4;16;588
;01322;Reyrieux;777;6;8;1086;242;499;256;201;33;16;2;21;93;3240
;01323;Reyssouze;96;0;1;192;37;118;52;60;18;2;0;13;16;606
;01325;Rignieux-le-Franc;140;6;1;209;53;116;67;62;10;2;2;9;16;695
;01328;Romans;50;3;2;104;17;59;25;23;7;2;0;5;6;304
;01329;Rossillon;12;2;0;16;2;19;5;20;6;0;0;4;2;89
;01330;Ruffieu;19;1;0;26;5;22;11;15;5;0;0;3;5;113
;01331;Saint-Alban;20;0;0;43;7;19;8;8;1;0;0;0;7;114
;01332;Saint-André-de-Bâgé;106;1;0;172;43;95;38;47;11;0;0;5;16;536
;01333;Saint-André-de-Corcy;489;11;6;766;170;388;195;194;43;5;2;16;58;2343
;01334;Saint-André-d'Huiriat;58;1;1;139;13;71;26;39;9;1;0;9;16;385
;01335;Saint-André-le-Bouchoux;31;0;1;80;15;49;19;25;8;0;0;4;20;253
;01336;Saint-André-sur-Vieux-Jonc;153;2;0;205;48;119;77;72;22;0;0;6;20;725
;01337;Saint-Bénigne;129;1;0;259;53;180;78;78;13;1;0;15;28;835
;01338;Groslée-Saint-Benoit;106;3;2;220;32;160;65;92;27;2;2;20;44;775
;01339;Saint-Bernard;259;2;0;290;70;145;89;66;8;7;0;5;33;974
;01342;Sainte-Croix;83;1;0;99;39;57;27;28;6;1;0;6;8;354
;01343;Saint-Cyr-sur-Menthon;180;3;1;397;60;233;117;110;33;2;2;21;22;1179
;01344;Saint-Denis-lès-Bourg;1042;10;0;916;328;653;369;299;63;13;3;22;93;3809
;01345;Saint-Denis-en-Bugey;253;2;1;360;111;282;114;155;33;3;0;15;59;1387
;01346;Saint-Didier-d'Aussiat;87;0;0;166;36;108;41;52;12;1;0;8;23;536
;01347;Saint-Didier-de-Formans;313;8;1;395;87;257;122;96;26;4;2;13;56;1380
;01348;Saint-Didier-sur-Chalaronne;304;1;3;501;113;329;169;192;49;4;0;28;85;1779
