Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Grand Est;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;08276;Margut;41;1;0;165;12;94;29;62;19;0;1;6;12;442
;08277;Marlemont;7;0;0;24;3;13;4;5;2;0;0;2;4;65
;08278;Marquigny;5;0;0;18;4;10;4;8;2;0;0;3;4;58
;08279;Mars-sous-Bourcq;6;0;0;9;3;4;6;3;1;0;0;0;0;32
;08280;Marvaux-Vieux;4;0;0;12;2;14;0;6;4;0;0;1;1;44
;08281;Matton-et-Clémency;25;1;0;87;8;43;22;37;24;0;0;5;7;260
;08282;Maubert-Fontaine;76;2;0;169;39;106;48;102;23;1;0;10;21;598
;08283;Mazerny;14;0;0;23;2;22;3;7;3;0;0;0;0;75
;08284;Les Mazures;95;1;1;201;28;119;43;67;14;3;0;9;9;589
;08286;Ménil-Annelles;6;0;0;23;1;14;5;11;4;0;0;1;3;68
;08287;Ménil-Lépinois;8;0;0;34;2;16;6;8;0;0;0;2;0;76
;08288;Mesmont;5;0;0;15;3;13;5;9;5;0;0;2;1;58
;08289;Messincourt;35;3;0;148;18;71;19;44;8;0;0;4;10;361
;08291;Mogues;11;0;0;63;1;26;8;9;0;0;0;0;4;123
;08293;Moiry;12;1;0;32;3;19;6;13;2;0;0;0;3;93
;08294;La Moncelle;18;0;0;18;3;20;10;12;3;0;0;0;3;87
;08295;Mondigny;21;1;1;42;11;23;4;8;5;0;0;2;5;123
;08296;Montcheutin;8;1;0;19;0;12;3;8;1;0;0;2;3;57
;08298;Montcy-Notre-Dame;256;9;0;278;84;183;84;78;23;4;1;7;29;1036
;08300;Le Mont-Dieu;1;0;0;6;0;1;0;1;1;0;0;0;1;11
;08301;Montgon;3;0;0;10;3;12;2;3;3;0;0;2;4;43
;08302;Monthermé;227;5;2;405;75;234;110;132;34;0;1;19;38;1282
;08303;Monthois;24;0;0;94;8;45;17;26;11;1;0;6;6;239
;08304;Montigny-sur-Meuse;8;1;0;14;0;12;2;6;3;0;0;1;8;55
;08305;Montigny-sur-Vence;18;0;0;61;3;22;8;17;6;0;0;5;7;148
;08306;Mont-Laurent;3;0;0;15;1;10;1;4;1;0;0;0;1;37
;08307;Montmeillant;2;0;0;17;4;9;7;11;2;0;0;1;2;56
;08308;Mont-Saint-Martin;0;0;0;13;1;11;1;7;2;0;0;0;1;36
;08309;Mont-Saint-Remy;3;0;0;14;2;5;5;7;1;0;0;1;2;40
;08310;Mouron;7;0;0;19;3;11;1;4;4;0;0;1;1;51
;08311;Mouzon;173;4;3;456;80;276;111;176;61;4;1;19;43;1407
;08312;Murtin-et-Bogny;17;2;0;36;5;34;17;8;3;0;0;3;1;126
;08313;Nanteuil-sur-Aisne;10;0;0;29;4;16;4;11;0;0;0;0;1;75
;08314;Neuflize;66;0;0;213;14;104;25;40;15;0;0;6;9;493
;08315;Neufmaison;1;1;0;12;1;11;0;6;3;0;0;2;1;39
;08316;Neufmanil;110;3;0;168;33;109;57;94;24;1;0;14;13;625
;08317;La Neuville-à-Maire;12;0;0;22;3;13;4;9;2;0;0;3;3;72
;08318;La Neuville-aux-Joûtes;24;3;0;69;10;39;12;39;11;0;0;6;10;224
;08319;Neuville-lez-Beaulieu;19;0;1;65;7;34;7;25;12;1;0;4;3;178
