Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Normandie;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;"Crit'Air
4";"Crit'Air
5";Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;14286;Fourneville;65;1;1;114;24;56;19;39;9;0;0;5;9;344
;14287;Frénouville;224;4;2;389;86;212;97;116;37;2;1;14;27;1212
;14288;Le Fresne-Camilly;124;3;1;215;30;96;64;47;14;1;1;5;28;631
;14289;Fresné-la-Mère;40;1;0;97;18;73;18;56;15;0;1;16;9;344
;14290;Fresney-le-Puceux;65;2;1;174;21;88;31;57;21;2;0;14;11;487
;14291;Fresney-le-Vieux;17;2;0;59;8;54;6;19;7;0;0;5;3;181
;14293;Fumichon;33;0;0;52;3;28;20;27;10;0;0;5;7;185
;14297;Gavrus;57;1;1;112;20;57;20;33;9;3;1;3;4;322
;14298;Géfosse-Fontenay;8;0;0;22;3;22;5;19;6;0;0;0;1;86
;14299;Genneville;94;1;1;162;39;88;44;49;10;3;0;10;21;521
;14300;Gerrots;12;0;0;13;0;2;2;2;2;0;0;0;2;35
;14301;Giberville;714;10;21;1211;195;514;276;296;78;37;1;34;79;3466
;14302;Glanville;32;0;2;46;13;18;13;12;1;0;0;0;4;141
;14303;Glos;898;5;3;695;35;109;58;90;19;17;0;10;26;1966
;14304;Gonneville-sur-Honfleur;116;0;1;177;35;104;49;52;15;1;0;2;20;573
;14305;Gonneville-sur-Mer;133;0;1;146;35;73;59;36;15;2;0;5;30;537
;14306;Gonneville-en-Auge;56;1;0;86;17;45;25;32;6;1;0;6;10;284
;14308;Goustranville;21;0;0;52;8;32;20;15;9;2;0;3;6;169
;14309;Gouvix;55;1;0;185;24;92;29;63;20;0;0;13;12;493
;14310;Grainville-Langannerie;60;2;0;164;20;106;19;40;19;1;0;9;13;455
;14311;Grainville-sur-Odon;92;5;0;238;34;111;42;74;18;0;1;8;18;641
;14312;Grandcamp-Maisy;165;2;1;306;41;178;78;91;20;0;0;13;22;918
;14316;Grangues;54;0;1;57;11;32;15;22;3;0;0;1;6;202
;14318;Graye-sur-Mer;71;2;0;152;27;79;39;51;17;0;0;5;6;450
;14319;Grentheville;151;2;1;199;50;114;45;53;9;0;0;3;10;636
;14320;Grimbosq;22;0;0;55;6;48;15;37;6;0;0;8;2;199
;14322;Guéron;20;1;0;46;10;25;14;11;3;0;0;3;8;143
;14325;Hermanville-sur-Mer;562;4;2;584;144;380;213;175;39;7;0;21;58;2188
;14326;Hermival-les-Vaux;117;5;1;183;37;112;61;60;23;3;1;19;31;654
;14327;Hérouville-Saint-Clair;2987;64;18;3967;823;1781;1098;1033;297;81;1;100;252;12503
;14328;Hérouvillette;164;4;1;258;63;146;77;73;14;4;0;11;25;840
;14329;Heuland;11;0;0;20;4;11;3;4;5;0;0;2;5;65
;14332;La Hoguette;54;1;3;134;21;77;29;56;19;0;0;15;12;422
;14333;Honfleur;954;19;9;1067;340;646;460;320;69;13;2;43;143;4086
;14334;L'Hôtellerie;22;1;0;52;6;37;13;21;15;0;0;5;4;176
;14335;Hotot-en-Auge;23;0;1;65;10;45;17;22;6;0;0;4;8;202
;14336;Hottot-les-Bagues;46;0;0;110;11;66;19;36;14;2;0;9;12;326
;14337;La Houblonnière;14;1;0;76;5;44;14;28;9;3;0;4;3;202
;14338;Houlgate;387;5;2;337;128;218;145;82;21;7;0;14;54;1401
;14341;Ifs;1526;18;5;1905;438;1118;629;585;138;18;1;49;136;6566
;14342;Isigny-sur-Mer;219;3;1;595;63;412;138;258;106;3;2;78;77;1955
;14343;Les Isles-Bardel;6;0;0;15;2;5;8;3;4;0;0;3;1;48
;14344;Janville;47;0;0;60;22;54;27;37;6;3;0;2;9;268
;14345;Jort;17;0;0;52;6;42;16;24;16;1;0;13;8;195
;14346;Juaye-Mondaye;50;6;0;142;19;93;31;58;10;3;0;11;13;436
;14347;Dialan sur Chaîne;46;7;0;177;21;117;36;97;37;0;0;22;18;578
;14348;Juvigny-sur-Seulles;9;0;0;8;3;10;6;4;2;0;0;0;1;44
;14349;Laize-Clinchamps;219;5;1;412;84;228;94;122;26;5;0;24;36;1256
;14352;Landelles-et-Coupigny;50;4;0;137;19;115;39;85;30;1;0;26;30;536
;14353;Landes-sur-Ajon;27;1;1;81;9;51;21;24;8;0;0;4;12;240
;14354;Langrune-sur-Mer;340;5;1;306;105;227;124;133;20;3;0;5;32;1301
;14355;Ponts sur Seulles;167;4;3;240;51;112;77;81;24;3;0;13;25;798
;14357;Terres de Druance;36;3;1;152;16;98;45;87;32;1;0;23;25;520
;14358;Léaupartie;12;0;0;22;4;13;2;4;0;0;0;1;0;58
;14360;Leffard;9;1;1;37;5;22;6;20;9;1;0;2;5;119
;14362;Lessard-et-le-Chêne;16;0;0;33;3;19;12;14;5;0;0;1;6;109
;14364;Lingèvres;36;0;0;98;11;54;21;41;8;1;0;9;14;295
;14365;Lion-sur-Mer;414;9;2;434;145;270;165;129;41;5;0;31;42;1687
;14366;Lisieux;2468;51;19;2665;774;1632;1106;1008;264;25;5;138;410;10565
;14367;Lison;18;0;0;62;11;50;20;51;17;0;0;8;13;252
;14368;Lisores;22;2;0;47;5;28;19;26;11;0;0;10;12;183
;14369;Litteau;23;0;0;55;5;44;9;17;7;0;0;6;5;172
;14370;Le Molay-Littry;245;6;2;578;65;347;139;209;65;3;1;54;52;1767
;14371;Livarot-Pays-d'Auge;549;15;4;1026;195;698;361;477;149;7;2;108;165;3756
;14374;Les Loges;5;1;0;21;2;26;6;17;5;1;0;7;1;93
;14375;Les Loges-Saulces;7;0;0;24;5;24;5;24;11;0;0;10;2;113
;14377;Longues-sur-Mer;60;5;0;110;15;65;30;35;10;2;0;6;18;357
;14378;Longueville;15;0;0;58;10;29;6;21;6;0;0;9;8;162
;14379;Longvillers;22;1;0;72;7;47;18;33;7;0;0;7;7;221
;14380;Loucelles;18;1;0;37;10;25;6;13;4;0;0;3;5;123
;14381;Louvagny;5;0;0;10;0;4;4;14;1;0;0;5;2;46
;14383;Louvigny;376;3;4;505;134;259;142;109;23;7;0;11;44;1618
;14384;Luc-sur-Mer;535;11;1;536;149;349;232;165;28;6;0;9;65;2085
;14385;Magny-en-Bessin;21;1;0;39;2;17;8;9;2;1;0;2;4;106
;14389;Maisoncelles-Pelvey;22;1;0;48;7;35;13;18;2;0;0;0;8;155
;14390;Maisoncelles-sur-Ajon;12;0;1;31;12;19;6;17;6;0;0;4;5;113
;14391;Maisons;42;1;0;85;14;45;16;31;10;0;0;7;8;260
;14393;Maizet;32;1;0;85;11;36;16;19;7;0;0;2;3;212
;14394;Maizières;40;0;0;69;16;65;26;42;12;0;0;11;23;304
;14396;Maltot;139;2;0;206;42;118;43;50;12;1;0;3;9;625
;14397;Mandeville-en-Bessin;26;2;0;48;7;41;8;32;10;0;0;4;9;188
;14398;Manerbe;54;0;0;111;24;60;36;49;17;2;0;10;18;381
;14399;Manneville-la-Pipard;44;1;0;76;14;38;18;23;3;0;0;5;9;232
;14400;Le Manoir;13;0;0;46;8;25;12;9;4;0;0;1;3;122
;14401;Manvieux;17;1;0;25;5;17;3;12;4;0;1;0;13;98
;14402;Le Marais-la-Chapelle;5;0;0;19;5;11;3;9;0;0;0;4;4;60
;14403;Marolles;83;1;1;179;40;83;31;50;17;0;0;5;11;501
;14404;Martainville;8;0;0;36;2;8;2;10;3;0;0;0;2;71
;14405;Martigny-sur-l'Ante;30;0;0;64;9;47;16;22;8;0;0;7;12;215
;14406;Moulins en Bessin;111;3;2;236;30;156;63;69;21;1;1;7;16;716
;14407;Mathieu;483;5;5;502;113;226;123;86;16;6;0;9;39;1613
;14408;May-sur-Orne;228;11;2;344;68;221;122;133;34;5;0;22;37;1228
;14409;Merville-Franceville-Plage;385;4;1;398;112;206;135;118;28;4;1;14;46;1453
;14410;Méry-Bissières-en-Auge;107;2;0;196;25;129;52;90;19;0;0;17;25;661
;14411;Meslay;16;1;0;48;7;37;9;25;11;0;0;1;8;164
;14412;Le Mesnil-au-Grain;6;0;0;12;2;15;2;4;4;0;0;0;1;46
;14419;Le Mesnil-Eudes;25;0;0;50;9;38;18;22;10;0;0;7;12;191
;14421;Le Mesnil-Guillaume;65;0;0;100;18;75;18;36;18;0;0;8;8;347
;14424;Le Mesnil-Robert;13;1;0;36;11;23;9;22;6;0;0;3;4;129
;14425;Le Mesnil-Simon;19;0;0;29;6;18;12;19;8;0;0;5;4;120
;14426;Le Mesnil-sur-Blangy;24;0;0;39;9;16;10;7;2;0;0;1;6;114
;14427;Le Mesnil-Villement;27;1;0;44;6;45;16;26;15;0;0;2;11;194
;14430;Meuvaines;20;0;0;22;8;22;4;14;3;1;0;5;7;107
;14431;Mézidon Vallée d'Auge;698;21;2;1489;260;1073;514;677;224;5;2;131;222;5317
;14435;Les Monceaux;22;0;0;32;6;20;10;17;4;1;0;2;7;122
;14436;Monceaux-en-Bessin;77;1;0;100;18;66;26;29;8;1;0;5;10;342
;14437;Mondeville;2122;36;33;3056;477;948;599;545;144;20;3;68;173;8224
;14438;Mondrainville;77;2;0;115;25;58;27;33;8;2;0;4;5;356
;14439;Monfréville;3;0;0;22;0;14;2;10;4;0;0;3;3;61
;14445;Montfiquet;8;0;0;18;1;15;2;17;4;0;0;2;1;68
;14446;Montigny;7;0;0;13;3;10;2;11;2;0;0;1;1;50
;14448;Montreuil-en-Auge;2;0;0;11;2;8;5;1;2;0;0;1;2;34
;14449;Monts-en-Bessin;30;0;0;100;16;41;22;38;12;0;0;9;9;277
;14452;Morteaux-Couliboeuf;41;1;0;106;12;68;27;47;24;2;1;22;17;366
;14453;Mosles;23;0;0;61;10;53;24;32;6;2;0;4;7;222
;14454;Mouen;221;5;3;401;80;222;95;103;23;4;2;8;26;1195
;14455;Moulines;14;1;0;50;8;34;10;27;3;2;0;6;5;161
;14456;Moult-Chicheboville;280;9;1;593;79;381;140;212;62;3;0;30;51;1843
