Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Normandie;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;"Crit'Air
4";"Crit'Air
5";Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;27141;Champ-Dolent;9;0;0;14;3;7;0;3;2;1;0;0;2;41
;27142;Champenard;16;2;0;52;4;25;14;12;5;1;0;1;6;138
;27144;Champigny-la-Futelaye;34;1;0;58;12;39;10;26;3;0;0;6;9;199
;27146;La Chapelle-Bayvel;49;0;0;64;18;37;19;25;8;0;1;3;19;245
;27147;La Chapelle-du-Bois-des-Faulx;78;1;1;163;27;66;31;32;9;2;0;6;12;429
;27148;La Chapelle-Gauthier;29;2;0;67;7;57;21;37;16;0;0;6;15;258
;27149;La Chapelle-Hareng;10;0;0;23;1;11;1;4;2;0;0;1;2;55
;27151;Charleval;133;2;0;320;67;206;98;119;37;4;0;24;47;1057
;27152;Château-sur-Epte;49;3;0;122;14;74;27;45;8;3;0;8;16;367
;27153;Chauvincourt-Provemont;29;1;0;61;21;35;12;23;8;0;0;8;8;207
;27154;Chavigny-Bailleul;57;0;0;116;17;76;26;48;16;3;0;15;14;388
;27155;Chennebrun;3;0;0;18;3;12;2;11;5;0;0;2;2;58
;27156;Chéronvilliers;35;1;0;97;9;63;30;33;11;1;0;7;17;305
;27157;Marbois;95;6;0;265;31;169;67;89;40;2;0;14;22;801
;27158;Cierrey;96;2;0;181;32;86;47;37;16;2;0;6;17;523
;27161;Claville;113;0;2;253;40;122;60;63;21;3;0;18;34;729
;27162;Collandres-Quincarnon;20;1;0;57;4;29;11;17;10;0;0;3;5;158
;27163;Colletot;14;1;0;39;3;28;5;9;3;0;0;4;4;111
;27164;Combon;65;0;0;163;21;108;27;55;16;2;0;12;19;488
;27165;Conches-en-Ouche;432;8;1;674;129;519;274;314;95;3;0;45;105;2600
;27167;Condé-sur-Risle;63;2;0;117;26;94;35;61;19;1;0;7;13;439
;27168;Connelles;21;0;1;42;6;22;12;13;3;2;1;0;1;124
;27169;Conteville;99;2;0;162;34;109;42;47;13;2;0;12;24;544
;27170;Cormeilles;115;3;0;194;32;103;68;71;26;1;0;13;23;648
;27171;Le Cormier;38;1;0;86;18;59;21;34;4;0;0;4;13;278
;27173;Corneville-la-Fouquetière;18;0;0;18;3;13;3;12;0;0;0;2;1;71
;27174;Corneville-sur-Risle;161;1;1;308;40;149;88;95;37;4;0;17;31;933
;27176;Coudray;7;0;0;33;4;33;13;26;6;0;0;9;4;135
;27177;Coudres;56;0;0;88;17;80;29;32;17;0;0;7;21;348
;27179;Courbépine;94;1;0;153;28;111;35;43;18;0;1;8;14;505
;27180;Courcelles-sur-Seine;217;1;2;380;101;241;100;125;27;7;1;14;32;1249
;27181;Courdemanche;66;1;0;116;13;96;34;56;8;2;0;7;19;417
;27182;Courteilles;12;1;0;28;8;15;15;12;5;1;0;1;4;104
;27183;La Couture-Boussey;250;3;0;398;76;277;134;175;41;6;1;29;78;1468
;27184;Crasville;26;0;0;24;5;20;6;5;1;0;0;4;1;93
;27185;Crestot;50;0;0;85;18;84;34;41;16;2;0;7;15;352
;27187;Criquebeuf-la-Campagne;25;0;0;70;9;28;18;19;7;0;0;0;7;183
;27188;Criquebeuf-sur-Seine;169;3;1;345;60;170;92;86;20;11;0;11;28;997
;27189;La Croisille;56;0;0;93;5;50;26;27;10;1;0;4;16;289
;27190;Croisy-sur-Eure;43;0;1;40;13;22;13;11;2;0;0;4;8;157
;27191;Clef Vallée d'Eure;299;1;0;517;108;316;140;189;40;1;0;29;67;1707
;27192;Crosville-la-Vieille;78;1;0;174;11;83;33;42;12;0;0;7;9;451
;27193;Croth;112;3;0;262;37;162;74;88;21;3;0;12;40;814
;27194;Cuverville;19;1;0;51;6;26;9;21;6;0;0;3;6;149
;27196;Les Damps;180;1;0;230;54;163;73;60;23;3;1;10;21;818
;27198;Mesnils-sur-Iton;525;19;2;1137;174;662;282;440;123;12;0;79;135;3587
;27199;Dangu;54;0;1;105;28;73;39;32;13;1;0;3;13;361
;27200;Dardez;17;1;0;31;7;23;9;8;3;0;0;5;2;106
;27201;Daubeuf-la-Campagne;21;0;1;57;12;27;8;12;4;1;0;2;5;150
;27202;Daubeuf-près-Vatteville;51;1;1;89;20;57;20;32;6;1;0;4;11;292
;27203;Douains;81;1;1;111;15;81;32;22;8;2;0;7;13;374
;27204;Doudeauville-en-Vexin;34;0;0;50;8;50;17;20;7;0;0;5;7;199
;27205;Douville-sur-Andelle;30;1;0;63;15;46;23;26;12;0;0;4;12;232
;27206;Droisy;42;2;0;94;6;65;20;25;12;0;0;10;18;295
;27207;Drucourt;68;1;0;103;34;75;32;56;16;1;0;13;23;424
;27208;Duranville;11;0;0;28;4;15;8;14;3;0;0;1;3;88
;27209;Écaquelon;51;0;1;112;12;82;30;48;19;1;0;5;18;381
;27210;Écardenville-la-Campagne;30;0;0;74;8;48;24;38;14;1;0;6;15;259
;27212;Écauville;5;0;0;23;2;15;4;10;2;0;0;3;3;68
;27213;Vexin-sur-Epte;587;13;3;1197;193;752;327;407;151;17;1;80;155;3883
;27214;Écouis;43;1;1;130;23;93;40;60;24;2;0;11;11;438
;27215;Ecquetot;27;1;1;94;13;46;29;27;6;2;0;2;12;261
;27216;Émalleville;78;3;0;93;30;72;25;37;11;3;0;4;10;365
;27217;Émanville;37;0;1;109;13;69;27;44;8;2;1;8;10;329
;27218;Épaignes;169;4;1;335;54;189;75;110;33;1;1;16;38;1027
;27219;Épégard;48;2;0;107;15;68;29;34;14;2;0;8;13;341
;27220;Épieds;22;3;0;61;7;49;32;29;5;0;0;8;14;231
;27222;Épreville-en-Lieuvin;21;0;0;39;7;21;10;12;6;0;1;1;9;128
;27224;Épreville-près-le-Neubourg;36;0;0;119;10;54;15;30;8;2;0;5;16;296
;27226;Étrépagny;294;5;2;740;98;409;161;273;62;1;1;36;74;2155
;27227;Étréville;49;2;0;117;17;78;24;53;17;0;0;6;14;378
;27228;Éturqueraye;23;3;0;55;5;50;12;23;9;0;0;6;8;196
;27229;Évreux;5777;84;38;6664;1822;4259;2500;2478;603;92;5;242;651;25215
;27230;Ézy-sur-Eure;409;9;2;572;135;405;203;195;63;13;1;37;67;2111
;27231;Fains;54;2;0;84;24;52;17;29;7;0;0;9;12;290
;27232;Farceaux;22;2;0;58;13;52;18;30;11;0;0;7;5;218
;27233;Fatouville-Grestain;95;3;0;133;34;75;48;55;29;2;0;6;20;500
;27234;Fauville;85;3;0;111;17;43;12;22;5;1;0;3;6;307
;27235;Faverolles-la-Campagne;12;0;0;26;2;21;9;22;3;0;0;2;3;101
;27237;Le Favril;14;1;0;34;6;20;7;11;5;0;0;1;5;105
;27238;Ferrières-Haut-Clocher;121;2;0;268;42;112;58;70;17;0;1;12;21;723
;27239;Ferrières-Saint-Hilaire;63;0;0;82;22;48;24;23;9;1;0;7;16;296
;27240;La Ferrière-sur-Risle;30;0;0;40;9;24;12;14;3;0;0;2;4;139
;27241;Feuguerolles;27;0;0;42;3;23;8;10;3;0;1;4;7;129
;27242;Le Fidelaire;82;1;1;180;32;128;50;95;30;1;0;17;42;660
;27243;Fiquefleur-Équainville;87;0;1;149;28;74;38;49;10;1;2;6;31;476
;27245;Fleury-la-Forêt;37;0;0;48;6;27;18;14;5;1;0;8;8;172
;27246;Fleury-sur-Andelle;147;1;2;281;61;195;98;141;43;2;0;20;35;1026
;27247;Flipou;34;0;0;66;13;39;20;22;9;0;0;6;10;220
;27248;Folleville;19;1;0;42;5;27;10;15;9;0;0;4;6;139
;27249;Fontaine-Bellenger;140;1;0;246;35;133;50;73;18;4;0;13;17;729
;27251;Fontaine-l'Abbé;52;0;0;100;16;64;33;47;13;1;0;6;21;354
;27252;Fontaine-la-Louvet;40;1;0;77;18;48;16;25;14;0;0;6;10;255
;27254;Fontaine-sous-Jouy;114;0;1;155;48;116;60;40;14;4;0;9;18;577
;27256;La Forêt-du-Parc;51;0;1;111;25;69;36;35;14;0;0;9;12;363
;27258;Fort-Moville;50;1;0;104;17;41;28;23;9;0;0;7;15;295
;27259;Foucrainville;11;0;0;22;3;13;2;6;1;0;0;1;0;60
;27260;Foulbec;53;0;1;118;19;85;19;36;14;0;0;7;16;368
;27261;Fouqueville;54;0;0;93;19;50;36;23;10;0;0;3;10;298
;27263;Le Perrey;116;4;0;277;32;146;69;71;15;2;0;9;27;768
;27266;Franqueville;29;1;0;63;9;37;14;28;1;0;0;5;6;194
;27267;Freneuse-sur-Risle;42;1;0;77;9;40;17;34;9;3;0;3;6;241
;27269;Fresne-Cauverville;12;1;0;37;5;32;9;19;4;0;0;2;3;124
;27271;Fresney;23;0;0;69;14;37;21;35;4;0;0;6;9;218
;27273;Gadencourt;42;0;0;84;14;40;14;24;3;0;0;2;7;230
;27275;Gaillon;635;13;5;885;231;657;380;463;134;10;1;62;104;3579
;27276;Gamaches-en-Vexin;27;3;0;62;14;59;23;24;10;1;0;3;5;230
;27277;La Baronnie;84;0;0;136;25;90;50;60;14;0;0;11;17;487
;27278;Garennes-sur-Eure;217;5;1;343;82;223;138;139;43;5;3;20;58;1276
;27279;Gasny;338;3;1;559;124;347;178;177;54;2;0;27;79;1888
;27280;Gauciel;69;2;1;94;15;75;27;25;7;0;0;3;8;326
;27281;Gaudreville-la-Rivière;24;2;0;41;8;27;17;14;3;0;0;2;6;144
;27282;Gauville-la-Campagne;76;1;0;122;30;72;35;34;12;2;0;6;9;400
;27284;Gisors;1247;21;6;1795;372;1176;571;713;154;8;1;70;174;6308
;27285;Giverny;78;0;1;69;32;53;38;39;8;1;0;4;19;342
;27286;Giverville;26;0;0;67;10;42;14;38;14;0;0;7;14;232
;27287;Glisolles;104;2;0;156;38;93;54;62;19;1;2;14;26;571
;27288;Glos-sur-Risle;49;0;0;108;18;84;39;48;8;0;0;10;9;374
;27289;La Goulafrière;14;0;0;30;5;19;10;19;6;0;0;4;4;111
;27290;Goupil-Othon;94;2;1;264;40;140;62;87;31;1;1;14;41;778
;27291;Gournay-le-Guérin;5;1;0;23;5;18;4;12;3;0;0;3;8;83
;27294;Val d'Orger;74;0;0;169;29;120;49;100;34;2;0;13;22;612
;27295;Grand-Camp;53;1;1;90;21;68;20;34;9;0;0;8;7;311
;27298;Graveron-Sémerville;32;0;0;60;17;29;18;24;13;1;0;5;5;203
;27299;Gravigny;525;10;3;612;199;393;259;233;56;1;0;31;64;2385
;27300;Grosley-sur-Risle;49;0;0;98;20;64;28;42;8;1;0;7;13;331
;27301;Grossoeuvre;140;4;2;247;45;166;67;82;28;3;0;11;34;830
;27302;Le Bosc du Theil;114;0;0;288;22;187;51;117;38;3;0;12;28;860
;27304;Guerny;13;0;0;29;8;20;9;19;6;2;0;6;6;119
;27306;Guichainville;416;1;5;646;118;334;163;153;30;11;5;20;49;1951
;27307;Guiseniers;41;1;0;104;20;50;26;38;11;0;0;4;12;307
;27309;L'Habit;66;2;1;95;23;64;40;20;10;2;0;6;16;345
;27310;Hacqueville;22;2;0;72;14;61;15;26;13;1;0;6;13;245
;27311;Harcourt;99;0;0;171;29;97;42;75;13;2;0;11;16;556
;27312;Hardencourt-Cocherel;45;0;1;65;17;34;10;19;3;1;1;2;6;204
;27313;La Harengère;58;0;0;132;24;88;36;41;11;2;0;5;14;411
;27315;Harquency;37;0;0;56;3;33;14;28;7;2;0;5;13;198
;27316;Hauville;118;1;2;285;52;168;60;82;21;8;0;10;28;835
;27317;La Haye-Aubrée;46;1;0;91;14;66;23;33;11;2;0;7;2;297
;27318;La Haye-de-Calleville;26;0;0;50;12;37;14;9;10;2;0;4;6;171
;27319;La Haye-de-Routot;22;0;0;60;6;49;9;28;11;0;0;4;5;195
;27320;La Haye-du-Theil;23;0;1;47;11;38;17;24;7;0;0;1;13;181
;27321;La Haye-le-Comte;19;0;0;28;5;22;10;11;2;2;0;1;4;105
;27322;La Haye-Malherbe;177;3;1;297;58;174;96;87;18;3;0;24;43;982
;27323;La Haye-Saint-Sylvestre;25;0;0;40;5;28;17;16;11;0;0;7;9;159
;27324;Hébécourt;61;0;0;123;20;78;37;54;14;0;1;1;8;398
;27325;Hecmanville;27;1;0;21;3;25;3;12;3;0;0;2;6;104
;27326;Hécourt;38;0;0;78;17;27;19;14;7;1;2;4;8;217
;27327;Hectomare;18;1;0;45;5;36;12;13;2;0;0;2;2;136
;27329;Hennezis;78;1;0;148;16;105;39;58;14;0;0;10;13;482
;27330;Herqueville;12;1;0;28;9;10;6;11;2;1;0;0;5;86
;27331;Heubécourt-Haricourt;50;1;0;104;17;55;27;33;6;4;0;4;10;312
;27332;Heudebouville;101;2;2;338;31;99;46;64;14;4;1;7;19;728
;27333;Heudicourt;46;0;0;122;26;94;25;59;15;0;1;9;22;419
;27334;Heudreville-en-Lieuvin;15;0;0;23;5;12;8;6;0;0;0;2;3;75
;27335;Heudreville-sur-Eure;113;2;0;192;40;126;67;91;24;3;1;13;31;703
;27336;La Heunière;45;1;0;89;16;37;26;26;6;1;2;6;16;272
;27337;Heuqueville;29;2;0;79;6;49;19;27;12;0;0;6;12;242
;27338;Les Hogues;75;1;1;124;27;71;42;51;12;1;2;9;20;437
;27339;Hondouville;83;2;1;186;35;92;40;51;11;2;0;7;15;526
;27340;Honguemare-Guenouville;62;0;0;174;19;93;25;34;12;1;0;3;13;437
;27341;L'Hosmes;9;0;0;17;1;10;1;5;2;0;0;0;3;48
;27342;Houetteville;27;0;0;47;5;31;17;21;4;0;0;3;6;161
;27343;Houlbec-Cocherel;178;5;0;301;58;158;73;65;21;10;0;10;31;910
;27345;La Houssaye;24;0;0;43;7;26;13;26;3;1;0;3;7;153
;27346;Houville-en-Vexin;10;1;0;48;5;35;7;24;8;0;0;2;5;146
;27347;Huest;112;2;1;171;34;80;43;50;9;1;0;3;8;514
;27348;Igoville;231;4;0;352;87;210;103;102;28;10;1;13;40;1181
;27349;Illeville-sur-Montfort;77;0;0;168;14;119;39;82;15;0;0;11;24;549
;27350;Illiers-l'Évêque;94;3;1;204;35;95;55;56;23;4;0;9;29;608
;27351;Incarville;217;2;1;313;72;146;68;70;17;1;0;9;27;943
;27353;Irreville;43;2;2;114;21;50;32;21;10;3;0;7;15;321
;27354;Iville;38;1;1;110;20;65;28;46;17;2;0;5;9;341
;27355;Ivry-la-Bataille;273;2;1;401;112;291;162;152;42;5;0;19;48;1509
;27358;Jouy-sur-Eure;68;2;1;119;18;65;29;43;13;2;0;5;11;376
;27359;Juignettes;7;1;0;38;5;20;10;19;6;0;0;3;2;112
;27360;Jumelles;33;0;0;65;5;41;17;19;8;1;0;3;9;201
;27361;La Lande-Saint-Léger;28;0;0;78;6;50;18;21;5;1;0;3;7;217
;27363;Le Landin;17;0;1;39;6;19;11;22;3;0;0;0;4;122
;27364;Launay;14;0;0;40;9;30;6;22;7;0;0;1;6;135
;27365;Léry;221;6;0;277;64;220;111;121;43;2;0;27;38;1131
;27366;Letteguives;20;0;0;45;6;30;12;9;4;0;0;0;8;135
;27367;Lieurey;140;7;0;289;33;179;93;99;34;1;0;19;35;929
;27368;Lignerolles;26;0;1;59;19;49;20;24;12;0;0;1;12;222
;27369;Lilly;5;0;0;20;0;8;4;4;2;0;0;2;2;47
;27370;Lisors;23;0;0;64;12;43;8;41;12;0;0;11;8;222
;27371;Livet-sur-Authou;10;1;0;34;7;26;16;10;3;0;0;3;5;116
;27372;Longchamps;47;2;0;115;16;81;28;47;16;0;0;10;16;378
;27373;Lorleau;6;2;0;31;1;12;3;7;3;1;0;1;3;70
;27374;Louversey;47;0;1;84;16;74;38;43;5;1;0;5;13;327
;27375;Louviers;1905;34;14;2587;573;1785;883;1016;273;44;1;112;254;9481
;27376;Louye;23;1;0;51;7;22;10;14;3;0;0;3;2;136
;27377;Lyons-la-Forêt;79;1;2;133;30;69;39;56;15;2;1;9;25;460
;27378;La Madeleine-de-Nonancourt;151;2;1;270;35;127;73;78;28;0;0;14;34;812
;27379;Mainneville;37;1;0;64;11;53;20;35;9;0;0;4;11;245
;27380;Malleville-sur-le-Bec;18;0;0;54;4;28;8;16;8;1;0;2;5;144
;27381;Malouy;10;0;0;28;6;19;10;12;3;0;0;3;5;96
;27382;Mandeville;40;0;0;81;13;55;16;20;7;2;0;2;6;243
;27383;Mandres;31;0;0;69;8;55;22;25;12;0;0;5;7;234
;27384;Manneville-la-Raoult;63;0;0;105;24;58;29;34;8;0;1;8;11;342
;27385;Manneville-sur-Risle;208;3;0;299;54;169;72;78;15;4;0;14;21;938
;27386;Le Manoir;86;3;1;177;41;141;83;82;23;3;0;10;24;673
;27388;Marais-Vernier;37;3;0;96;15;62;28;33;17;1;0;10;11;315
;27389;Marbeuf;45;0;0;128;14;50;22;40;11;0;0;3;9;322
;27390;Marcilly-la-Campagne;82;1;0;246;26;148;55;88;39;1;1;17;36;741
;27391;Marcilly-sur-Eure;170;2;1;334;49;194;96;95;35;5;0;25;32;1037
;27392;Martagny;15;0;1;20;5;15;7;18;5;0;0;0;7;95
;27393;Martainville;56;1;0;79;15;46;27;37;12;1;0;10;14;299
;27394;Martot;52;0;1;181;16;54;32;26;5;2;0;7;9;385
;27395;Mélicourt;5;0;0;10;2;12;6;5;3;0;0;5;1;49
;27396;Ménesqueville;42;0;1;69;23;71;30;54;15;1;0;12;17;336
;27397;Ménilles;224;3;1;291;75;211;117;89;23;2;0;22;54;1111
;27398;Menneval;228;3;0;265;67;142;84;83;22;4;0;17;30;944
;27399;Mercey;2;0;0;14;4;4;1;4;0;0;0;1;1;31
;27400;Merey;39;1;0;67;14;45;37;25;7;0;0;1;6;243
;27401;Le Mesnil-Fuguet;28;0;0;41;8;20;12;14;5;0;0;2;4;135
;27403;Le Mesnil-Jourdain;37;0;0;54;11;28;16;13;9;1;2;5;5;181
;27404;Mesnil-Rousset;10;0;0;15;1;6;3;6;5;0;0;1;3;51
;27405;Mesnil-sous-Vienne;12;0;0;23;4;14;18;18;4;0;0;2;5;101
;27406;Mesnil-sur-l'Estrée;116;2;0;183;42;107;59;73;15;1;1;7;23;628
;27407;Mesnil-Verclives;21;0;0;64;12;35;11;28;9;1;0;4;4;189
;27408;Mézières-en-Vexin;85;0;1;117;25;72;53;47;23;0;1;14;18;456
;27410;Miserey;78;2;0;129;28;62;28;41;6;2;0;11;18;407
;27411;Moisville;26;1;0;45;9;24;15;13;8;0;0;3;14;158
;27412;Terres de Bord;180;5;0;304;53;187;62;109;28;8;0;16;47;999
;27413;Montfort-sur-Risle;90;1;0;129;24;85;38;45;18;2;0;8;22;463
;27414;Montreuil-l'Argillé;51;2;1;161;27;91;48;61;20;1;0;8;25;496
;27415;Morainville-Jouveaux;29;1;0;61;12;35;15;30;19;0;0;14;15;231
;27417;Morgny;56;3;0;128;17;79;38;51;17;0;0;10;16;413
;27418;Morsan;14;0;0;20;8;13;5;7;4;0;0;1;1;74
;27419;Mouettes;75;1;1;143;22;124;57;63;15;1;0;13;21;536
;27420;Mouflaines;13;0;0;24;3;19;8;14;3;0;0;7;8;99
;27421;Mousseaux-Neuville;55;2;1;113;28;106;32;53;14;1;1;6;19;430
;27422;Muids;84;0;2;185;38;115;48;82;12;2;2;6;37;613
;27423;Muzy;111;4;0;159;33;93;46;60;13;3;0;7;13;542
;27424;Nagel-Séez-Mesnil;32;1;0;58;8;49;21;22;7;1;0;6;4;209
;27425;Nassandres sur Risle;252;4;1;503;87;287;124;158;57;1;0;31;52;1558
;27426;Neaufles-Saint-Martin;154;3;2;234;45;160;85;98;24;3;0;20;22;850
;27427;Neaufles-Auvergny;40;1;1;87;12;55;24;25;9;0;1;11;18;284
;27428;Le Neubourg;543;5;2;844;183;468;224;246;83;9;0;45;93;2745
;27429;Neuilly;21;3;1;27;7;11;13;8;1;0;0;2;5;99
;27430;La Neuve-Grange;26;1;0;58;5;38;16;35;8;2;0;8;11;208
;27431;La Neuve-Lyre;31;1;0;79;11;46;26;32;9;0;0;11;14;261
;27432;La Neuville-du-Bosc;39;1;0;120;17;84;38;40;13;0;1;6;14;374
;27433;Neuville-sur-Authou;10;0;0;23;2;16;6;17;6;0;0;3;4;87
;27434;Noards;4;0;0;9;0;10;1;7;1;0;0;1;1;34
;27435;La Noë-Poulain;27;0;0;40;8;29;8;21;3;0;0;4;3;142
;27436;Nogent-le-Sec;36;0;0;97;10;62;17;36;9;0;0;8;7;283
;27437;Nojeon-en-Vexin;21;1;0;66;11;55;21;26;9;0;0;8;6;223
;27438;Nonancourt;213;2;2;325;75;252;131;161;52;3;0;25;47;1288
;27439;Normanville;380;1;8;597;56;166;94;72;17;8;0;9;24;1432
;27440;Notre-Dame-de-l'Isle;87;1;2;181;24;83;44;43;11;2;0;11;15;504
;27441;Notre-Dame-d'Épine;6;0;0;16;1;8;1;9;3;0;0;3;0;47
;27442;Notre-Dame-du-Hamel;10;1;0;36;8;25;17;14;4;0;0;12;6;134
;27444;Le Noyer-en-Ouche;28;0;0;48;8;26;13;14;7;0;0;2;26;172
;27445;Noyers;20;1;0;43;6;24;12;14;0;0;0;0;0;121
;27446;Ormes;38;2;0;116;16;63;25;26;8;0;0;6;8;309
;27447;Le Val-Doré;105;1;3;216;31;118;43;66;27;2;1;18;32;664
;27448;Pacy-sur-Eure;632;14;6;943;236;532;332;275;73;15;1;36;127;3223
;27451;Parville;42;1;0;55;22;34;25;15;6;0;0;0;9;209
;27453;Perriers-sur-Andelle;149;2;0;283;63;159;112;133;41;2;0;19;37;999
;27454;Perruel;44;1;0;65;23;55;30;32;19;0;0;8;6;283
;27455;Piencourt;8;0;0;32;4;25;13;8;2;0;0;4;2;99
;27456;Pinterville;111;0;0;152;36;109;44;37;10;0;0;11;17;528
;27457;Piseux;57;0;0;144;10;83;31;58;23;0;0;14;20;440
;27458;Pîtres;237;4;1;405;88;285;139;183;63;5;0;24;48;1482
;27459;Les Places;6;0;0;8;5;10;5;5;3;0;0;1;1;44
;27460;Plainville;22;0;1;39;6;24;6;14;7;1;0;4;1;126
;27462;Le Planquay;12;0;0;24;3;15;6;11;5;0;0;4;4;84
;27463;Plasnes;82;0;1;169;16;87;38;55;12;3;0;12;13;488
;27464;Le Plessis-Grohan;118;0;1;195;33;109;62;54;16;5;0;4;14;611
;27465;Le Plessis-Hébert;51;1;0;93;19;39;19;20;7;1;0;7;16;274
;27466;Le Plessis-Sainte-Opportune;18;0;0;73;12;34;9;30;7;0;0;3;9;195
;27467;Pont-Audemer;1250;23;2;1533;356;937;552;519;166;20;1;70;188;5618
;27468;Pont-Authou;60;0;1;93;18;60;23;48;18;1;0;5;12;338
;27469;Pont-de-l'Arche;487;12;4;693;165;460;241;212;62;11;0;24;69;2440
;27470;Pont-Saint-Pierre;110;3;0;212;49;124;67;75;22;0;0;15;27;704
;27471;Porte-de-Seine;44;0;1;42;7;27;16;9;3;0;0;6;9;163
;27472;Portes;17;0;0;57;10;28;8;22;9;0;0;10;6;169
;27473;Port-Mort;111;1;1;196;51;104;68;60;26;0;1;13;33;666
;27474;Poses;166;2;1;196;40;141;62;57;20;2;0;19;28;734
;27475;La Poterie-Mathieu;23;0;0;27;7;20;16;11;5;0;0;4;4;117
;27476;Les Préaux;49;0;0;84;22;44;18;31;6;0;0;6;18;278
;27477;Pressagny-l'Orgueilleux;101;1;1;140;47;87;46;38;13;0;0;5;13;491
;27478;Prey;143;0;2;189;46;104;59;67;11;2;0;7;23;653
;27480;Puchay;47;0;0;97;22;86;29;56;15;0;0;13;14;379
;27481;Pullay;49;2;0;70;22;40;34;29;6;0;0;3;4;258
;27482;La Pyle;10;1;0;34;7;24;12;19;4;0;0;3;9;123
;27483;Quatremare;37;0;0;94;15;45;23;25;7;0;0;2;7;255
;27485;Quillebeuf-sur-Seine;61;1;0;130;28;80;45;71;13;1;0;7;19;457
;27486;Quittebeuf;59;3;2;136;18;84;34;47;14;3;1;12;8;420
;27487;Radepont;58;3;0;109;15;80;38;46;21;0;0;8;14;393
;27488;Renneville;20;0;0;47;14;29;10;24;3;2;0;1;4;155
;27489;Reuilly;74;2;0;105;15;56;21;27;11;4;0;9;15;339
;27490;Richeville;19;0;0;59;8;51;13;38;12;0;0;10;10;219
;27492;Romilly-la-Puthenaye;20;1;0;64;8;41;11;25;10;0;0;5;7;192
;27493;Romilly-sur-Andelle;357;5;2;596;112;381;191;215;68;5;0;34;51;2017
;27495;La Roquette;27;1;0;43;11;28;13;15;3;1;0;6;4;152
;27496;Rosay-sur-Lieure;50;2;1;95;19;90;22;43;15;1;0;11;27;376
;27497;Rougemontiers;89;0;0;246;27;139;51;76;28;3;0;6;18;683
;27498;Rouge-Perriers;32;0;0;71;9;42;16;25;5;0;0;5;10;216
;27500;Routot;127;1;3;296;50;206;72;104;25;0;0;12;23;918
;27501;Rouvray;36;1;0;62;11;32;18;16;3;0;0;1;5;185
;27502;Rugles;194;3;2;342;61;205;117;173;40;3;1;30;73;1243
;27504;Sacquenville;136;4;0;225;33;152;58;65;14;1;0;11;21;720
;27505;Saint-Agnan-de-Cernières;13;0;0;38;4;14;8;17;6;0;0;2;5;108
;27507;Saint-André-de-l'Eure;323;5;1;704;128;389;210;258;90;4;1;30;66;2208
;27508;Saint-Antonin-de-Sommaire;16;1;0;37;2;23;10;16;5;0;0;1;7;118
;27511;Saint-Aubin-d'Écrosville;75;1;0;157;21;84;34;45;15;1;0;11;13;458
;27512;Saint-Aubin-de-Scellon;30;0;0;54;15;36;19;26;12;0;0;2;15;209
;27514;Saint-Aubin-du-Thenney;31;1;0;73;10;52;11;21;11;2;0;3;9;225
;27516;Treis-Sants-en-Ouche;171;3;2;251;59;147;70;121;28;3;0;20;30;905
;27517;Saint-Aubin-sur-Gaillon;238;4;1;503;69;237;122;116;35;14;2;19;58;1420
;27518;Saint-Aubin-sur-Quillebeuf;52;0;0;139;24;100;26;58;15;0;0;6;8;428
;27520;Saint-Benoît-des-Ombres;21;0;0;31;6;11;7;8;5;0;0;3;7;100
;27521;Saint-Christophe-sur-Avre;10;0;0;33;7;16;4;13;4;0;0;3;5;97
;27522;Saint-Christophe-sur-Condé;44;0;0;84;12;51;18;18;11;0;0;6;15;260
;27524;Sainte-Colombe-la-Commanderie;68;0;0;162;26;100;34;60;24;1;0;17;13;505
;27525;Sainte-Colombe-près-Vernon;31;0;2;72;18;42;16;19;3;1;1;2;5;212
;27527;Saint-Cyr-de-Salerne;25;0;0;40;9;26;8;15;5;0;0;3;6;138
;27528;Le Vaudreuil;494;6;6;688;157;396;205;200;48;11;0;25;65;2302
;27529;Saint-Cyr-la-Campagne;56;3;0;88;19;55;29;22;9;1;0;3;10;294
;27530;Saint-Denis-d'Augerons;3;0;0;11;4;13;8;7;9;0;0;0;1;56
;27531;Saint-Denis-des-Monts;28;0;0;56;5;31;9;21;8;0;0;3;7;168
;27533;Saint-Denis-le-Ferment;75;1;1;104;22;52;27;29;8;13;0;1;12;346
;27534;Saint-Didier-des-Bois;87;0;0;192;43;124;51;49;13;1;0;12;22;595
;27535;Saint-Élier;49;2;0;87;22;64;29;25;8;1;0;6;15;309
;27536;Saint-Éloi-de-Fourques;45;1;0;114;19;74;21;47;9;2;0;5;19;357
;27537;Saint-Étienne-du-Vauvray;87;1;0;162;35;109;49;49;15;3;2;8;14;535
;27538;Saint-Étienne-l'Allier;55;2;0;95;14;63;31;30;11;1;0;9;7;319
;27539;Saint-Étienne-sous-Bailleul;43;3;0;68;26;39;35;29;4;1;0;4;9;262
