Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Corse;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;2B039;Bisinchi;13;0;0;26;5;21;11;15;5;0;0;6;1;104
;2B042;Borgo;1519;12;22;1542;427;896;406;548;134;12;1;107;120;5746
;2B043;Brando;395;1;3;278;117;142;113;95;16;6;1;19;43;1230
;2B045;Bustanico;3;0;0;4;1;3;1;2;0;0;0;0;0;14
;2B046;Cagnano;24;0;1;31;10;14;7;15;2;0;0;5;4;114
;2B047;Calacuccia;38;0;0;42;11;36;17;12;6;0;0;9;9;182
;2B049;Calenzana;239;7;3;332;112;237;179;185;62;2;1;37;85;1482
;2B050;Calvi;733;6;11;802;338;678;478;439;124;10;0;66;137;3822
;2B051;Cambia;3;0;0;7;2;2;4;4;2;0;0;0;2;26
;2B052;Campana;4;0;0;5;0;3;0;3;0;0;0;0;0;15
;2B053;Campi;2;0;0;2;0;1;1;0;1;0;0;1;1;9
;2B054;Campile;16;0;0;16;6;12;9;10;5;0;0;10;11;96
;2B055;Campitello;9;0;0;5;6;14;3;6;1;0;0;1;3;49
;2B057;Canale-di-Verde;40;0;0;44;13;41;23;23;13;0;0;12;6;213
;2B058;Canari;28;0;0;32;14;25;20;13;5;0;0;6;10;154
;2B059;Canavaggia;6;0;0;12;2;6;8;2;3;0;0;3;3;45
;2B063;Carcheto-Brustico;0;0;0;2;1;1;2;0;1;0;0;0;1;8
;2B067;Carpineto;2;0;0;5;0;1;0;4;0;0;0;0;1;13
;2B068;Carticasi;2;0;0;4;3;0;0;3;1;0;0;1;0;14
;2B069;Casabianca;11;0;0;8;4;5;3;3;3;0;0;1;0;39
;2B072;Casalta;5;0;0;6;3;0;1;1;0;0;0;0;0;16
;2B073;Casamaccioli;13;0;0;20;4;8;3;3;2;0;0;2;1;57
;2B074;Casanova;37;0;0;58;11;44;15;24;14;0;1;3;5;212
;2B075;Casevecchie;6;1;0;6;0;3;0;4;1;0;0;1;0;23
;2B077;Castellare-di-Casinca;109;1;0;138;39;76;50;50;14;1;0;13;20;511
;2B078;Castellare-di-Mercurio;0;0;0;5;3;5;0;1;1;0;0;1;0;16
;2B079;Castello-di-Rostino;39;1;0;87;17;52;20;20;15;2;0;10;11;273
;2B080;Castifao;23;0;0;24;7;14;7;8;6;0;0;6;1;98
;2B081;Castiglione;6;0;0;7;2;3;2;1;0;0;0;0;1;22
;2B082;Castineta;5;0;0;6;2;8;1;2;3;0;0;0;2;29
;2B083;Castirla;17;0;0;23;13;16;7;5;2;0;0;2;1;86
;2B084;Cateri;22;0;0;26;7;31;12;23;0;1;0;5;3;131
;2B086;Centuri;27;2;0;34;16;29;12;9;2;0;0;6;13;151
;2B087;Cervione;242;2;2;293;83;190;101;106;33;1;0;32;40;1125
;2B088;Chiatra;19;0;0;33;7;25;11;20;11;1;0;2;2;132
;2B093;Corbara;152;2;4;113;59;89;96;62;18;3;1;16;40;656
;2B095;Corscia;18;0;0;10;8;10;7;8;1;0;0;1;4;68
;2B096;Corte;742;5;2;828;267;528;278;315;62;7;0;50;84;3168
;2B097;Costa;14;0;0;10;5;2;4;5;0;0;0;0;1;42
;2B101;Croce;10;0;0;5;0;6;4;5;2;0;0;3;4;39
;2B102;Crocicchia;3;0;0;3;3;8;2;3;2;0;0;1;0;25
;2B105;Erbajolo;15;0;0;12;1;8;6;3;2;0;0;5;1;54
;2B106;Érone;1;0;0;0;1;0;1;0;0;0;0;0;0;3
;2B107;Ersa;22;0;0;25;13;18;7;13;4;0;0;6;6;114
;2B109;Farinole;31;0;0;25;8;24;18;11;5;0;0;2;7;132
;2B110;Favalello;9;0;0;10;1;5;1;3;4;0;0;1;6;41
;2B111;Felce;3;0;0;3;5;6;3;2;0;0;0;0;1;23
