Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Bourgogne-Franche-Comté;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;21101;Braux;24;0;0;31;4;22;12;9;8;1;0;4;4;120
;21102;Brazey-en-Morvan;7;0;0;26;5;22;13;21;5;0;0;3;7;110
;21103;Brazey-en-Plaine;228;9;2;457;92;293;123;165;57;5;1;28;56;1517
;21104;Brémur-et-Vaurois;0;0;0;11;1;7;2;7;2;0;0;2;2;34
;21105;Bressey-sur-Tille;144;5;0;203;46;137;46;54;22;1;1;5;20;684
;21106;Bretenière;134;2;0;274;43;131;53;75;14;2;0;3;14;745
;21107;Bretigny;177;0;1;186;47;98;54;42;9;0;0;9;16;640
;21108;Brianny;4;0;0;19;4;10;10;13;2;0;0;2;9;74
;21109;Brion-sur-Ource;20;0;0;47;7;37;12;33;4;0;0;3;5;169
;21110;Brochon;104;1;5;125;38;72;40;35;6;2;1;7;23;459
;21111;Brognon;45;0;0;62;11;31;20;23;0;0;0;3;6;203
;21112;Broin;30;1;1;87;10;68;19;51;4;0;0;0;12;284
;21113;Broindon;19;0;0;38;9;21;6;16;5;0;0;3;5;122
;21114;Buffon;14;0;0;33;3;16;11;16;5;0;0;3;5;106
;21115;Buncey;25;1;0;75;7;54;20;40;9;0;0;3;9;243
;21116;Bure-les-Templiers;6;0;0;20;2;17;11;13;6;0;0;2;3;80
;21117;Busseaut;3;0;0;7;1;5;2;6;0;0;0;0;2;26
;21118;Busserotte-et-Montenaille;3;0;0;8;0;1;2;3;0;0;0;3;2;22
;21119;Bussières;2;0;0;8;0;5;5;3;1;0;0;3;1;28
;21120;La Bussière-sur-Ouche;17;0;0;31;15;20;14;14;4;0;0;1;2;119
;21121;Bussy-la-Pesle;4;0;1;7;1;9;3;9;3;1;1;3;1;43
;21122;Bussy-le-Grand;20;1;0;61;9;40;18;24;10;0;0;4;8;196
;21123;Buxerolles;4;0;0;7;1;4;0;4;3;0;0;0;1;24
;21124;Censerey;7;1;0;25;5;27;10;16;6;0;0;6;14;117
;21125;Cérilly;21;0;0;44;8;37;9;24;6;0;1;2;14;166
;21126;Cessey-sur-Tille;65;2;1;117;18;90;36;33;11;2;0;4;15;395
;21127;Chaignay;59;0;0;112;21;64;35;36;8;0;0;2;8;346
;21128;Chailly-sur-Armançon;16;1;1;40;9;34;9;25;11;0;0;7;13;166
;21129;Chambain;2;0;0;8;0;6;1;2;1;0;0;0;0;20
