Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Hauts-de-France;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;02117;Bray-Saint-Christophe;4;1;0;15;4;7;4;5;3;0;0;0;1;45
;02118;Braye;9;0;0;27;12;14;10;8;3;1;0;2;2;88
;02119;Brécy;28;0;0;55;9;42;15;31;14;0;0;5;14;215
;02120;Brenelle;19;0;0;37;8;30;11;12;4;0;0;2;8;132
;02121;Breny;13;1;0;44;7;29;12;34;5;0;0;5;6;156
;02122;Brie;6;0;0;7;4;5;3;4;0;1;0;0;3;34
;02123;Brissay-Choigny;26;0;0;64;13;34;13;28;7;0;0;8;15;209
;02124;Brissy-Hamégicourt;60;4;0;141;21;70;27;55;9;0;0;9;20;416
;02125;Brumetz;12;0;0;28;6;30;9;23;5;1;1;1;8;124
;02126;Brunehamel;17;1;0;77;3;58;20;40;10;0;0;12;11;251
;02127;Bruyères-sur-Fère;16;0;0;34;3;20;15;15;5;0;0;3;2;113
;02128;Bruyères-et-Montbérault;207;4;2;326;73;164;73;88;25;2;0;8;41;1016
;02129;Bruys;4;0;0;5;2;2;2;1;1;0;0;0;0;17
;02130;Bucilly;18;0;0;25;8;22;7;15;6;0;0;5;1;107
;02131;Bucy-le-Long;260;2;1;372;58;200;104;114;37;3;1;25;39;1216
;02132;Bucy-lès-Cerny;16;0;1;45;7;21;7;16;2;0;0;1;3;119
;02133;Bucy-lès-Pierrepont;20;0;0;82;7;58;16;28;9;0;0;9;4;234
;02134;Buire;114;3;1;167;32;98;37;62;18;0;0;12;26;569
;02135;Buironfosse;78;6;0;168;21;109;56;101;39;2;0;25;24;630
;02136;Burelles;6;0;0;30;5;13;9;13;3;0;0;2;1;82
;02137;Bussiares;14;0;0;23;1;21;2;6;6;2;0;2;6;84
