Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Occitanie;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;09132;Gaudiès;15;0;1;45;9;22;19;23;8;0;0;6;10;158
;09133;Génat;1;0;0;5;0;0;0;4;0;0;0;1;2;13
;09134;Gestiès;2;0;0;6;1;1;1;2;0;1;0;0;0;14
;09136;Gourbit;7;0;0;16;6;8;6;4;2;0;0;1;2;52
;09137;Gudas;15;0;0;25;5;20;4;14;4;1;0;3;3;95
;09138;L'Herm;18;3;0;40;9;22;11;22;4;2;0;5;6;143
;09139;L'Hospitalet-près-l'Andorre;2;0;0;10;2;10;3;6;3;0;0;2;4;43
;09140;Ignaux;8;0;0;21;2;8;6;7;0;0;1;1;1;55
;09141;Illartein;5;0;0;10;2;7;3;4;2;0;0;9;2;45
;09142;Ilhat;3;0;0;25;3;22;7;14;2;0;0;6;1;83
;09143;Illier-et-Laramade;5;0;0;4;2;1;1;0;1;0;0;0;2;16
;09145;Les Issards;21;1;0;57;5;27;13;23;8;0;0;6;6;168
;09146;Justiniac;2;0;0;10;2;5;1;6;3;0;0;3;2;33
;09147;Labatut;20;0;0;43;4;14;4;13;2;0;0;0;4;105
;09148;Lacave;22;1;0;16;6;20;5;10;8;0;0;6;5;101
;09149;Lacourt;15;1;0;26;4;29;12;18;5;0;1;5;14;130
;09150;Lagarde;22;0;0;29;5;28;11;23;13;0;0;5;11;148
;09151;Lanoux;0;0;0;9;1;8;1;6;2;0;0;1;0;29
;09152;Lapège;0;1;0;2;2;2;0;3;1;0;0;2;0;13
;09153;Lapenne;8;1;0;14;0;21;9;16;8;0;0;6;1;84
;09154;Larbont;3;0;0;8;1;7;5;5;1;0;0;0;1;32
;09155;Larcat;6;2;0;6;2;5;3;5;3;0;0;4;2;38
;09156;Larnat;1;0;0;5;0;5;0;2;1;0;0;0;0;14
;09157;Laroque-d'Olmes;225;5;1;411;64;291;127;220;85;5;1;58;80;1574
;09158;Lasserre;13;2;0;37;8;23;13;21;9;1;0;5;15;147
;09159;Lassur;8;0;0;16;1;9;4;9;2;0;0;0;3;53
;09160;Lavelanet;467;11;3;932;190;624;307;504;187;4;1;142;195;3568
;09161;Léran;46;2;0;93;18;92;36;68;21;2;0;18;20;416
;09162;Lercoul;5;0;0;1;0;3;1;2;0;0;0;1;0;13
;09163;Lescousse;5;0;0;10;4;10;5;11;2;0;0;5;1;53
;09164;Lescure;41;1;0;94;18;66;19;54;20;1;1;15;18;348
;09165;Lesparrou;25;0;0;47;10;26;13;17;15;1;0;5;10;168
;09166;Leychert;6;2;0;28;2;13;5;7;4;0;0;1;3;72
;09167;Lézat-sur-Lèze;211;5;1;407;63;253;110;164;57;7;0;32;64;1375
;09168;Lieurac;10;1;1;38;1;22;8;14;8;2;0;5;3;114
;09169;Limbrassac;17;0;0;17;5;7;1;8;7;0;0;5;6;74
;09170;Lissac;21;0;0;36;9;28;8;23;4;0;0;1;3;133
;09171;Lordat;5;0;0;12;1;7;8;5;1;0;0;1;2;43
;09172;Loubaut;4;0;0;4;1;2;0;6;1;0;0;3;0;22
;09173;Loubens;19;2;0;34;9;42;14;29;14;1;0;7;10;182
;09174;Loubières;42;1;0;65;15;47;16;21;3;0;0;4;6;221
;09175;Ludiès;3;1;0;14;2;12;5;10;3;0;0;0;2;53
;09176;Luzenac;44;1;0;107;21;74;30;53;17;0;1;7;12;366
;09177;Madière;20;2;0;43;7;25;11;21;8;0;0;9;17;164
;09178;Malegoude;1;0;0;8;2;6;3;5;1;0;0;3;1;30
;09179;Malléon;6;0;0;11;2;6;4;6;1;0;0;3;2;42
;09180;Manses;9;0;0;23;6;13;5;6;8;0;0;2;3;75
;09181;Le Mas-d'Azil;99;5;0;202;24;115;55;105;33;3;1;39;51;733
;09182;Massat;48;0;1;59;18;60;37;81;27;0;0;29;36;397
;09183;Mauvezin-de-Prat;10;1;0;10;2;8;10;7;3;0;0;2;3;57
;09184;Mauvezin-de-Sainte-Croix;4;0;0;9;1;5;3;3;0;0;0;4;2;31
;09185;Mazères;346;10;3;734;120;451;171;253;77;8;1;50;94;2316
;09186;Méras;3;0;0;14;4;14;7;6;2;0;0;3;2;55
;09187;Mercenac;16;1;0;71;14;52;16;37;13;0;0;12;8;239
;09188;Mercus-Garrabet;101;1;0;238;34;178;59;123;35;0;0;26;36;832
;09189;Mérens-les-Vals;8;0;0;25;12;13;6;11;5;0;0;3;0;83
;09190;Mérigon;5;2;1;15;2;13;7;11;6;0;0;3;7;73
;09192;Miglos;11;1;0;12;4;21;5;18;3;0;0;9;3;88
;09193;Mijanès;3;0;0;8;0;7;1;3;3;0;0;1;2;28
;09194;Mirepoix;290;13;5;544;115;369;199;259;106;1;0;73;107;2082
;09195;Monesple;1;0;0;2;0;1;1;5;2;0;0;1;1;14
;09196;Montagagne;2;3;0;0;1;1;3;8;4;0;0;3;4;29
;09197;Montaillou;3;0;0;8;0;3;0;3;1;0;0;0;2;20
;09198;Montardit;10;1;0;47;1;28;12;22;10;0;0;8;8;148
;09199;Montaut;59;3;0;140;22;90;32;68;20;3;0;14;19;469
;09200;Montbel;5;1;0;15;2;12;9;14;4;0;0;4;1;67
;09201;Montégut-en-Couserans;3;0;0;16;1;9;4;1;2;1;0;2;4;43
;09202;Montégut-Plantaurel;27;0;0;42;8;43;12;29;10;0;0;7;8;187
;09203;Montels;13;2;0;35;2;23;4;15;5;1;0;11;2;114
;09204;Montesquieu-Avantès;14;2;0;33;2;25;14;23;14;0;0;14;6;148
;09205;Montfa;2;0;0;11;1;8;1;12;3;0;0;5;1;43
;09206;Montferrier;54;3;0;94;18;65;34;56;25;0;1;23;23;397
;09207;Montgaillard;178;2;1;277;44;188;87;105;26;2;0;30;38;978
;09208;Montgauch;18;0;0;14;7;18;6;9;1;0;0;2;3;78
;09209;Montjoie-en-Couserans;114;7;1;214;39;156;74;126;39;3;0;38;38;850
;09210;Montoulieu;33;2;0;82;8;52;22;35;13;1;1;18;9;275
;09211;Montségur;6;1;0;22;5;20;4;10;3;0;0;6;7;84
;09212;Montseron;4;2;0;9;0;8;6;8;6;0;0;3;5;51
;09213;Moulin-Neuf;11;1;0;40;7;32;9;23;10;0;0;5;3;142
;09214;Moulis;72;3;0;136;24;97;56;79;38;3;0;34;30;572
;09215;Nalzen;13;1;0;14;4;18;12;17;8;0;0;2;9;99
;09216;Nescus;4;0;0;9;2;3;1;9;3;0;0;1;2;35
;09217;Niaux;15;2;0;36;4;14;7;13;5;0;0;4;10;111
;09218;Orgeix;8;0;0;15;3;7;2;7;1;0;0;1;1;46
;09219;Orgibet;12;1;0;33;5;15;10;17;9;0;0;11;10;125
;09220;Orlu;21;0;0;34;4;19;10;10;2;0;0;5;3;109
;09221;Ornolac-Ussat-les-Bains;13;1;0;33;5;34;21;28;8;1;0;1;4;150
;09222;Orus;1;0;0;2;0;0;0;1;0;0;0;0;0;4
;09223;Oust;47;3;0;74;17;70;44;43;17;0;0;29;26;369
;09224;Pailhès;23;5;0;70;12;70;21;45;13;2;0;18;21;302
;09225;Pamiers;1826;38;21;2955;497;1792;830;1080;336;32;5;208;291;9911
;09226;Pech;4;0;0;7;2;9;1;4;0;0;0;0;3;30
;09227;Péreille;24;0;1;36;3;22;10;18;5;0;0;7;10;137
