Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Provence-Alpes-Côte d Azur;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;"Crit'Air
4";"Crit'Air
5";Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;04200;Salignac;73;2;0;133;15;74;33;61;18;3;0;11;13;436
;04201;Saumane;18;0;0;19;4;17;6;11;0;1;0;3;2;81
;04202;Sausses;10;0;0;16;4;14;8;10;3;0;0;1;6;72
;04203;Selonnet;48;0;1;76;17;46;24;42;22;0;1;6;20;303
;04204;Senez;10;1;0;24;7;11;12;17;4;0;1;5;6;99
;04205;Seyne;154;10;0;289;70;165;111;106;24;1;0;17;51;996
;04206;Sigonce;46;3;0;58;18;43;33;42;3;2;0;11;24;283
;04207;Sigoyer;4;0;0;20;2;16;3;10;2;1;0;4;5;67
;04208;Simiane-la-Rotonde;59;2;0;113;23;67;35;58;21;5;0;18;38;439
;04209;Sisteron;974;20;8;1337;280;868;437;522;142;14;2;89;173;4866
;04210;Soleilhas;9;0;0;13;6;12;5;11;2;0;0;2;5;66
;04211;Sourribes;17;0;0;28;8;24;16;16;4;0;0;3;3;119
;04214;Tartonne;13;1;0;28;2;19;2;10;3;0;0;1;7;86
;04216;Thèze;26;2;0;43;9;31;8;20;11;0;0;3;17;171
;04217;Thoard;42;7;1;93;17;77;47;62;25;0;0;17;29;417
;04218;Thorame-Basse;22;0;0;41;7;18;15;22;5;0;0;4;12;145
;04219;Thorame-Haute;17;1;0;31;14;30;13;19;7;0;0;1;3;137
;04220;Les Thuiles;57;3;0;79;22;61;17;23;12;0;0;13;6;292
;04222;Turriers;30;1;0;38;9;32;11;18;10;0;1;2;3;155
;04224;Ubraye;9;0;1;13;4;5;6;9;3;0;0;2;4;56
;04226;Uvernet-Fours;82;2;3;126;36;64;47;45;8;1;1;8;20;443
;04227;Vachères;40;0;0;52;9;34;20;27;5;0;0;8;12;207
;04228;Valavoire;5;0;0;5;2;6;5;1;0;0;0;0;1;25
;04229;Valbelle;26;2;0;36;10;39;7;26;7;0;0;7;7;169
;04230;Valensole;372;12;3;632;130;408;172;237;75;6;0;62;95;2205
;04231;Valernes;18;1;1;39;7;21;10;21;4;1;0;8;10;140
;04233;Vaumeilh;21;1;1;36;10;38;18;24;12;2;1;10;14;188
;04234;Venterol;18;1;1;28;8;30;19;19;7;1;0;6;10;148
;04235;Verdaches;4;0;0;10;1;4;3;8;3;0;0;4;3;41
;04236;Vergons;10;0;0;10;4;12;8;6;2;0;0;3;2;57
;04237;Le Vernet;8;1;0;21;3;16;8;11;3;0;0;4;6;82
;04240;Villars-Colmars;33;0;1;52;13;33;15;19;3;0;0;1;7;177
;04241;Villemus;21;1;0;38;7;28;8;13;5;0;1;7;2;130
;04242;Villeneuve;524;5;2;831;160;559;196;302;78;14;3;59;96;2829
;04244;Volonne;169;10;0;299;60;212;98;132;33;6;1;36;51;1108
;04245;Volx;491;12;4;652;158;377;172;200;56;3;0;25;50;2200
;ND;ND;50;0;1;54;8;21;4;6;1;4;0;0;4;153
;Total département;;20068;507;145;29094;6864;19441;9918;12155;3531;354;44;2511;4381;109012
Hautes-Alpes;04066;Curbans;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;05001;Abriès-Ristolas;36;4;0;59;15;38;28;35;9;0;0;2;14;239
;05003;Aiguilles;42;1;1;64;15;46;18;24;7;1;0;3;11;233
;05004;Ancelle;146;4;2;230;33;108;54;62;8;0;0;4;28;679
;05006;L'Argentière-la-Bessée;200;18;2;395;75;280;134;202;46;5;0;31;58;1446
;05007;Arvieux;37;1;0;68;18;54;26;38;8;0;0;6;10;267
;05008;Aspremont;23;0;0;64;17;38;19;32;14;2;0;9;9;228
;05009;Aspres-lès-Corps;17;1;0;22;6;16;8;13;0;0;0;3;2;88
;05010;Aspres-sur-Buëch;82;6;0;106;30;104;55;77;22;0;0;18;21;521
;05011;Avançon;24;1;0;72;17;59;21;33;13;0;0;8;9;256
;05012;Baratier;92;1;0;139;27;59;44;48;13;0;1;9;23;457
;05013;Barcillonnette;19;1;0;34;7;17;6;16;6;0;0;6;1;113
;05014;Barret-sur-Méouge;18;1;0;27;7;27;10;16;7;0;0;5;10;128
;05016;La Bâtie-Montsaléon;18;2;1;34;8;21;19;24;13;1;0;6;19;167
;05017;La Bâtie-Neuve;283;6;1;444;104;325;121;181;42;4;1;18;67;1597
;05018;La Bâtie-Vieille;51;1;1;54;12;43;14;22;7;2;0;5;8;221
;05019;La Beaume;12;0;0;24;7;25;11;14;5;0;0;11;7;116
;05021;Le Bersac;17;0;0;22;9;16;6;20;6;0;0;9;7;113
;05022;Bréziers;15;1;0;29;4;26;11;18;9;0;0;8;13;134
;05023;Briançon;1396;50;6;1762;543;1263;757;753;191;15;6;80;285;7107
;05024;Valdoule;13;0;0;40;5;25;12;19;2;0;0;7;10;134
;05025;Buissard;21;3;0;53;2;22;6;16;0;1;0;1;6;131
;05026;Ceillac;33;0;0;55;14;26;19;24;5;0;0;3;7;185
;05027;Cervières;19;1;0;30;7;26;9;9;4;0;0;4;5;114
;05028;Chabestan;13;1;0;15;8;15;11;24;6;0;0;8;5;106
;05029;Chabottes;126;2;0;180;22;103;44;67;14;2;0;12;20;591
;05031;Champcella;12;1;0;45;8;32;7;19;5;0;0;4;4;138
;05032;Champoléon;13;1;0;25;10;18;5;14;6;0;0;2;8;103
;05033;Chanousse;5;1;0;5;1;6;6;2;0;0;0;0;1;28
;05035;Châteauneuf-d'Oze;5;0;0;7;2;2;0;1;1;0;0;1;1;20
;05036;Châteauroux-les-Alpes;113;4;0;215;57;165;70;124;28;0;0;27;34;838
;05037;Châteauvieux;70;1;0;104;23;61;33;42;6;4;0;7;13;365
;05038;Château-Ville-Vieille;32;0;0;58;16;34;41;30;13;0;1;9;24;257
;05039;Aubessagne;68;1;0;132;19;78;26;53;30;2;0;8;25;443
;05040;Chorges;330;10;2;587;122;374;155;210;60;8;1;39;76;1974
;05044;Crévoux;13;0;0;31;7;8;3;10;3;0;0;0;2;77
;05045;Crots;130;3;0;175;41;138;76;82;28;3;0;18;44;738
;05046;Embrun;898;23;7;1038;312;677;388;448;121;15;3;88;151;4169
;05047;Éourres;2;1;0;8;4;5;7;9;4;0;0;4;2;46
;05048;L'Épine;24;1;1;24;6;24;12;25;8;1;0;2;8;136
;05049;Esparron;3;1;0;10;1;5;4;0;0;1;0;2;2;29
;05050;Espinasses;61;4;0;111;26;75;32;65;16;0;0;7;22;418
;05051;Étoile-Saint-Cyrice;1;0;0;5;2;4;2;0;0;0;0;0;0;14
;05052;Eygliers;79;2;3;144;25;103;49;63;27;0;0;16;22;532
;05053;Garde-Colombe;64;0;0;91;25;73;31;52;13;1;0;16;22;389
;05054;La Fare-en-Champsaur;46;2;0;88;17;45;18;26;10;1;0;2;12;269
;05055;La Faurie;23;1;1;42;8;39;20;44;7;1;0;5;9;201
;05056;Forest-Saint-Julien;35;1;0;48;13;33;17;22;5;0;0;3;7;184
;05057;Fouillouse;39;0;0;41;10;26;13;19;8;0;0;4;10;169
;05058;Freissinières;16;1;0;36;3;22;9;26;4;0;0;3;5;126
;05059;La Freissinouse;112;1;0;155;29;110;36;55;17;1;0;7;14;536
;05060;Furmeyer;18;1;0;21;7;27;13;18;4;1;0;5;6;121
;05061;Gap;6178;89;60;6742;1888;4330;2289;2418;559;96;7;330;818;25804
;05062;Le Glaizil;20;1;0;40;1;16;9;15;4;0;0;3;0;109
;05063;La Grave;41;2;1;106;16;70;25;46;10;0;0;1;4;322
;05064;La Chapelle-en-Valgaudémar;14;1;0;12;4;13;6;9;2;0;0;3;1;65
;05065;Guillestre;254;7;1;447;122;295;138;201;44;3;3;39;73;1626
;05066;La Haute-Beaume;0;0;0;0;0;0;1;2;0;0;0;0;0;3
;05068;Jarjayes;46;1;0;80;20;53;19;46;7;3;1;11;17;305
;05070;Laragne-Montéglin;354;12;5;590;129;414;183;315;94;7;0;53;111;2268
;05071;Lardier-et-Valença;41;1;1;63;13;51;17;19;17;1;1;6;7;240
;05072;Laye;29;1;0;61;8;30;12;11;5;2;0;0;6;166
;05073;Lazer;34;3;1;60;15;49;22;37;8;1;1;7;12;251
;05074;Lettret;24;0;0;33;10;18;9;8;5;0;0;3;1;113
;05075;Manteyer;46;1;0;71;16;67;28;22;12;2;2;7;13;288
;05076;Méreuil;2;0;0;14;4;9;3;7;4;0;0;5;4;53
;05077;Molines-en-Queyras;30;0;0;59;11;36;22;21;12;0;0;3;11;205
;05078;Monêtier-Allemont;15;0;1;48;8;29;16;24;14;0;0;11;9;176
;05079;Le Monêtier-les-Bains;105;5;0;185;47;117;77;70;19;1;0;14;39;680
;05080;Montbrand;6;1;0;5;1;11;3;5;6;0;1;3;2;45
;05081;Montclus;2;0;0;7;3;5;3;2;2;0;0;5;5;35
;05082;Mont-Dauphin;8;0;0;31;5;24;3;10;2;0;0;4;2;90
;05084;Montgardin;63;2;0;90;19;61;15;34;17;1;0;8;11;323
;05085;Montgenèvre;55;9;2;111;20;37;39;33;10;0;0;1;10;327
;05086;Montjay;4;0;1;12;7;17;10;12;4;0;0;6;4;78
;05087;Montmaur;64;3;1;85;22;70;36;49;20;2;0;12;14;377
;05089;Montrond;2;1;0;5;3;11;9;3;6;0;0;0;5;46
;05090;La Motte-en-Champsaur;22;0;0;48;4;36;9;12;5;4;0;2;6;148
;05091;Moydans;4;0;0;7;1;8;4;5;2;0;0;4;3;38
;05092;Neffes;101;4;4;155;26;100;37;43;15;0;0;8;11;505
;05093;Névache;32;5;1;60;14;41;16;31;3;0;0;8;12;223
;05094;Nossage-et-Bénévent;2;0;0;2;1;1;1;0;0;0;0;1;2;10
;05095;Le Noyer;33;2;0;56;15;35;10;17;6;0;0;5;12;192
;05096;Orcières;81;1;1;146;46;99;45;57;18;0;0;10;22;527
;05097;Orpierre;29;0;1;64;8;56;22;33;23;2;0;5;8;252
;05098;Les Orres;48;0;1;102;14;56;29;33;13;3;0;2;6;306
;05099;Oze;15;0;0;13;3;8;5;4;2;0;1;3;10;65
